iso3,country_name,lowland_population_2015,lowland_population_2025,lowland_absolute_change_2015_2025,lowland_growth_2015_2025_percent,highland_population_2015,highland_population_2025,highland_absolute_change_2015_2025,highland_growth_2015_2025_percent,highland_minus_lowland_growth_difference_pp
PNG,Papua New Guinea,4425740.1200628532,5148779.3869578512,723039.2668949980,16.3371379087,3182881.4962288467,4211689.9991014358,1028808.5028725890,32.3231796123,15.9860417036
PER,Peru,18372227.9577135555,20881146.4276605807,2508918.4699470252,13.6560382101,6406068.3664201964,7277444.2363814041,871375.8699612077,13.6023504608,-0.0536877492
PHL,Philippines,100023165.1915744245,111243722.9441224039,11220557.7525479794,11.2179590908,169675.1126458527,188577.6293651193,18902.5167192666,11.1404179579,-0.0775411329
RUS,Russia,138701283.1011949778,138049586.3428753018,-651696.7583196759,-0.4698563299,224817.7432053466,227637.4028829110,2819.6596775645,1.2541980172,1.7240543471
SAU,Saudi Arabia,13411608.6323275566,15546182.0781049784,2134573.4457774218,15.9158644149,2218832.6601180718,2344715.1531383083,125882.4930202365,5.6733657875,-10.2424986274
SOM,Somalia,10596491.9392096568,15071263.3001151197,4474771.3609054647,42.2287997441,227540.7500432196,320033.4657920820,92492.7157488624,40.6488577239,-1.5799420202
ZAF,South Africa,16794426.6667706445,19279624.2256201133,2485197.5588494688,14.7977517075,11980755.6346241795,13756307.5398372822,1775551.9052131008,14.8200327205,0.0222810130
LKA,Sri Lanka,18898014.9545885213,20264992.3630623855,1366977.4084738642,7.2334444213,183766.7567875842,191456.4443806482,7689.6875930640,4.1844823990,-3.0489620223
SDN,Sudan,25024665.3997826166,33139017.6648923606,8114352.2651097439,32.4254176249,111530.6851682125,147612.8642052640,36082.1790370514,32.3517953670,-0.0736222579
CHE,Switzerland,4896038.1568453768,5314429.6527231093,418391.4958777325,8.5455113395,104904.4580306400,113842.0303347729,8937.5723041329,8.5197259220,-0.0257854175
TJK,Tajikistan,3332521.7420012648,4165775.8412507442,833254.0992494794,25.0037108160,497924.3354440982,628904.4815134980,130980.1460693998,26.3052308846,1.3015200687
TZA,Tanzania,12815338.2739927154,17389462.7302808613,4574124.4562881440,35.6925768052,7467808.1557011437,9708705.2875162680,2240897.1318151243,30.0074276828,-5.6851491223
TUR,Turkey,46285889.1499940157,51300701.5969175249,5014812.4469235092,10.8344304042,3578781.0246979725,3967042.8010372519,388261.7763392795,10.8489950533,0.0145646491
USA,United States,295357556.3409120440,314788264.3963469863,19430708.0554349422,6.5787069395,7850057.9743381161,8366529.5585105503,516471.5841724342,6.5792072601,0.0005003206
VEN,Venezuela,22700896.5243456997,21243549.9656913690,-1457346.5586543309,-6.4197753472,470041.6245552608,439987.2591854235,-30054.3653698373,-6.3939795541,0.0257957931
VNM,Vietnam,85914640.6697804481,94353119.1480422169,8438478.4782617688,9.8219330401,186042.5364646102,204808.0023601751,18765.4658955649,10.0866534354,0.2647203952
YEM,Yemen,7622382.1191896722,10282724.3747168444,2660342.2555271704,34.9017172575,14968859.9099074025,20076953.3656550869,5108093.4557476845,34.1247996607,-0.7769175968
ZMB,Zambia,144550.9529129991,193569.4017779409,49018.4488649419,33.9108444995,418194.7362062000,564393.2124385883,146198.4762323883,34.9594252569,1.0485807574
ZWE,Zimbabwe,756135.7613291128,887007.5596850788,130871.7983559660,17.3079762986,973885.3537240048,1143476.0749735616,169590.7212495569,17.4138280857,0.1058517871
