iso3,country_id,country_name,country_name_dos_short,country_name_dos_long,region,highland_population_total_2015,highland_population_total_2025,highland_absolute_change_2015_2025,highland_percent_change_2015_2025,lowland_population_total_2015,lowland_population_total_2025,lowland_absolute_change_2015_2025,lowland_percent_change_2015_2025,highland_minus_lowland_growth_difference_pp,highland_youth_share_2025_percent,lowland_youth_share_2025_percent,country_share_global_highland_2025_population_percent,country_share_global_highland_absolute_growth_percent
MNE,155,Montenegro,Montenegro,Montenegro,Europe,4642.644660198173,4190.63910336563,-452.00555683254333,-9.735949871581369,360487.32750889484,392082.238033551,31594.91052465618,8.764499640802656,-18.500449512384023,18.04919582253646,17.933897398853887,0.0008028489849144687,-0.0005806071783387068
JPN,121,Japan,Japan,Japan,Asia,3997.2396049963518,3856.5506679833056,-140.68893701304614,-3.5196523330048053,125225063.97332655,121370950.6218716,-3854113.3514549434,-3.0777491575295866,-0.44190317547521873,10.185033334796225,11.346169809964683,0.0007388438165851452,-0.00018071681975555669
DJI,64,Djibouti,Djibouti,Republic of Djibouti,Africa,2634.08747998898,3202.56479449973,568.4773145107501,21.581565488217137,829191.7045571195,966082.048283686,136890.34372656653,16.508889678253738,5.0726758099634,28.977766152537903,28.98433824051367,0.0006135522126737023,0.000730216707601079
XKS,281,Kosovo,Kosovo,Republic of Kosovo,Europe,3195.0382953119947,3019.735237030017,-175.30305828197788,-5.486727922453887,525136.0152356215,497006.79035335494,-28129.224882266542,-5.356559837101505,-0.13016808535238145,18.279269002226673,20.1186908946253,0.0005785254492120065,-0.00022517912110747075
ROU,209,Romania,Romania,Romania,Europe,2957.9752816776113,2819.6803194317613,-138.29496224585,-4.675325149012612,17933635.772443492,17070077.29790536,-863558.4745381325,-4.815300619995089,0.13997547098247676,13.816985683116881,15.664843886834118,0.0005401986251741376,-0.00017764172717409365
EGY,70,Egypt,Egypt,Arab Republic of Egypt,Africa,2246.9687554582033,2714.421737294942,467.4529818367387,20.80371525866702,98559961.02952467,117474507.70965715,18914546.68013248,19.19090316448728,1.6128120941797377,34.128745555956996,31.781846653836293,0.0005200330266251689,0.0006004496021954723
THA,241,Thailand,Thailand,Kingdom of Thailand,Asia,2558.1674618027837,2602.1729042083693,44.005442405585654,1.7201939694195891,69362838.08654836,70599758.03351228,1236919.9469639212,1.7832602890621903,-0.06306631964260112,17.524465450614315,14.50332619813753,0.0004985282252145651,5.6525578857250956e-05
REU,208,Reunion,Reunion,,Africa,2546.2942576656287,2590.0692125564583,43.77495489082958,1.719163241210041,699948.0220934332,711796.243839881,11848.221746447845,1.692728798777329,0.02643444243271209,20.81145236560113,20.762395813174294,0.0004962093816404072,5.6229514564319254e-05
NIC,172,Nicaragua,Nicaragua,Republic of Nicaragua,North America,2114.029178634268,2387.9959236942227,273.9667450599545,12.959459019243338,4613403.494763533,5259276.4318276,645872.9370640675,13.999923002554816,-1.0404639833114775,29.909411770152268,28.061417628430917,0.0004574958749795547,0.0003519139453120271
ALB,5,Albania,Albania,Republic of Albania,Europe,2381.7370964787146,1952.0244898144724,-429.71260666424223,-18.04198319367624,2473678.5931275436,2423331.3018010836,-50347.29132645996,-2.0353206542812994,-16.00666253939494,20.92540801246897,16.715573993403844,0.00037397180752622716,-0.0005519715859252756
TCD,239,Chad,Chad,Republic of Chad,Africa,1237.8111245706273,1848.8102655946338,610.9991410240066,49.36125786039856,12075622.846237574,17351923.204910036,5276300.358672462,43.693815431776336,5.667442428622223,42.7158489464709,45.95776956140883,0.000354197870162573,0.0007848365620176394
BIH,29,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,1708.5464261514503,1544.7825320494787,-163.76389410197157,-9.584983562363853,2548147.0413112077,2254785.1670022877,-293361.87430892,-11.51275297511732,1.9277694127534666,12.239543279590668,12.96056921922811,0.00029595177660931535,-0.00021035691050924437
GRC,94,Greece,Greece,Hellenic Republic,Europe,1902.6174442735016,1536.3830139193,-366.23443035420155,-19.24897889780702,10170177.483580198,9384969.241952967,-785208.2416272312,-7.720693595514472,-11.528285302292549,11.326504018783112,13.046780705837602,0.00029434258420733334,-0.0004704330201347806
CPV,55,Cabo Verde,Cabo Verde,Republic of Cabo Verde,Africa,1486.6100689627958,1347.7902785800395,-138.8197903827563,-9.338009561553053,463431.940171932,481671.6088204163,18239.668648484338,3.9357815177170288,-13.273791079270081,27.801378771133162,25.054172397827283,0.0002582117024027501,-0.00017831587592973566
DEU,63,Germany,Germany,Federal Republic of Germany,Europe,1233.288181739596,1288.9217453065328,55.6335635669368,4.510994623208318,74188755.7053575,76639075.16262874,2450319.457271233,3.302817838059905,1.2081767851484129,12.101367619098232,13.88855191733832,0.00024693357965911407,7.146205588683294e-05
AUS,14,Australia,Australia,Commonwealth of Australia,Oceania,1016.4798365440726,1151.6421631509797,135.1623266069072,13.297098648453792,22588325.31891958,25513737.776501138,2925412.4575815573,12.950993118251594,0.34610553020219825,7.693551331549529,17.7580218275176,0.0002206333494401598,0.0001736178148314326
LIE,136,Liechtenstein,Liechtenstein,Principality of Liechtenstein,Europe,559.613831869042,599.7273848364343,40.113552967392366,7.168077463957241,24862.844691006987,26664.88739779665,1802.0427067896635,7.247934535188048,-0.07985707123080754,12.904842824165794,14.347161194368097,0.00011489668049788408,5.152639486281001e-05
MKD,151,North Macedonia,North Macedonia,Republic of North Macedonia,Europe,611.899844420533,560.9666226949614,-50.93322172557157,-8.323784062047794,1287784.982349499,1176907.0292726324,-110877.95307686646,-8.609974071492525,0.2861900094447307,18.74653589385728,17.151092678218873,0.00010747083499503462,-6.542440397638646e-05
TKM,244,Turkmenistan,Turkmenistan,Turkmenistan,Asia,371.5848020822087,450.8522075354365,79.26740545322781,21.332251752236857,6085092.786247927,7485671.604792735,1400578.8185448078,23.016556488835498,-1.6843047365986408,31.33913814030256,31.39719935406991,8.637494860284352e-05,0.00010182004163165468
PRT,190,Portugal,Portugal,Portuguese Republic,Europe,437.54132628389345,439.0278632203203,1.4865369364268304,0.33974777858179017,9798893.648291152,9834041.214661393,35147.566370241344,0.3586891299342839,-0.01894135135249375,8.858495986154022,12.937747337390396,8.410962281445817e-05,1.9094765608706933e-06
SVK,230,Slovakia,Slovakia,Slovak Republic,Europe,373.2045892757597,378.3758333380343,5.171244062274582,1.385632495117461,4671017.050002925,4736620.646502462,65603.59649953712,1.4044820602719923,-0.01884956515453129,11.836739087442187,15.36249870695767,7.248981508993057e-05,6.642532106326234e-06
GNQ,93,Equatorial Guinea,Equatorial Guinea,Republic of Equatorial Guinea,Africa,207.58289905889615,331.17603954504557,123.59314048614942,59.53917256502095,974404.0972191786,1307172.4720582678,332768.3748390892,34.1509621920481,25.38821037297285,37.196317909676196,37.196311824124564,6.344720712484975e-05,0.00015875704064909874
SRB,225,Serbia,Serbia,Republic of Serbia,Europe,452.13782246540643,299.7967787958917,-152.3410436695147,-33.6934970047038,6755779.70132401,6305864.821758067,-449914.87956594303,-6.65970323866197,-27.033793766041832,10.931894949451653,14.185417323667224,5.743552083585591e-05,-0.00019568410647415835
SVN,231,Slovenia,Slovenia,Republic of Slovenia,Europe,217.8777006450474,224.3719010969776,6.4942004519301975,2.9806632035786618,1817538.3983152562,1869683.4765675312,52145.07825227501,2.8689945863377755,0.11166861724088628,12.694338359497536,14.540066906726185,4.2985508557481055e-05,8.341887268784288e-06
NZL,178,New Zealand,New Zealand,New Zealand,Oceania,176.71294997700232,203.32535066302694,26.612400686024614,15.059677680378257,4546200.054470589,5212440.862040975,666240.8075703857,14.654894188284247,0.4047834920940101,15.103786042187378,18.00371344861706,3.8953378556527784e-05,3.4183984328440786e-05
NOR,175,Norway,Norway,Kingdom of Norway,Europe,142.5153596424844,153.26660825267766,10.751248610193244,7.5439227302684735,5086890.6097497,5518180.002553559,431289.39280385897,8.478448346760901,-0.9345256164924276,16.040438588155652,16.079160250703396,2.9363048886295318e-05,1.3810122519123893e-05
XQO,287,Lapthal-Bara Hoti,,,Asia,118.65127323241362,122.09915325551486,3.4478800231012485,2.905893825806282,0.0,0.0,0.0,0.0,2.905893825806282,19.740352184431593,0.0,2.3391940663985507e-05,4.4288479670280934e-06
POL,187,Poland,Poland,Republic of Poland,Europe,68.52634757541605,68.60134691150385,0.0749993360877994,0.10944598499906852,37684503.32400126,37783446.17507246,98942.85107120126,0.2625558050228688,-0.15310982002380027,16.013456592098773,14.622733666887358,1.314274991789022e-05,9.633764949342412e-08
GIN,89,Guinea,Guinea,Republic of Guinea,Africa,50.6611763095716,61.77377939259168,11.112603083020076,21.93514618593752,8438118.89181398,10844825.688344441,2406706.796530461,28.52184032231715,-6.586694136379631,40.41309664512978,40.291598585650576,1.183471419427201e-05,1.4274287168599178e-05
CYP,61,Cyprus,Cyprus,Republic of Cyprus,Asia,48.550966031325224,54.91044895731035,6.359482925985127,13.09857134847115,1159500.5557162852,1307046.7475354322,147546.19181914697,12.724978103007448,0.3735932454637023,16.088471470813325,16.088492384347834,1.0519826956983367e-05,8.168840806347287e-06
ARE,7,United Arab Emirates,United Arab Emirates,United Arab Emirates,Asia,36.206795488425996,47.02336018352071,10.816564695094712,29.874404926424315,8457603.728298075,11211982.40537838,2754378.6770803053,32.56689206027118,-2.692487133846864,16.01667808348722,16.021654786724262,9.008806547022084e-06,1.3894021903061827e-05
UKR,254,Ukraine,Ukraine,Ukraine,Europe,51.79035292122949,45.35404870958538,-6.436304211644114,-12.42761218760839,45573452.95413425,38030390.028934844,-7543062.925199404,-16.551440446680324,4.123828259071935,18.549144480888778,13.729660047893818,8.688997327163782e-06,-8.267518774413373e-06
JAM,118,Jamaica,Jamaica,Jamaica,North America,18.992251952179444,19.177272941714307,0.18502098953486268,0.9741919494366792,2447375.44033264,2482455.518585022,35080.07825238211,1.4333754304412785,-0.45918348100459927,18.690305927189762,18.458553125104675,3.6740109885190723e-06,2.3766193367191298e-07
SLE,220,Sierra Leone,Sierra Leone,Republic of Sierra Leone,Africa,13.90422641733304,14.487388141973438,0.583161724640398,4.194132827939476,6860999.604943873,8612300.756563745,1751301.151619872,25.52545186503037,-21.331319037090893,40.38700852564773,37.85824247543653,2.7755157571321103e-06,7.490790286545827e-07
ISR,115,Israel,Israel,State of Israel,Asia,11.72629798864773,14.342301300478084,2.6160033118303545,22.308859235565365,7241325.3929982465,8584355.670879252,1343030.2778810058,18.54674669335538,3.7621125422099837,43.560113291366264,26.939413932647525,2.7477198003470364e-06,3.360291214227787e-06
HRV,104,Croatia,Croatia,Republic of Croatia,Europe,12.07092360411798,11.33301403093435,-0.7379095731836287,-6.113116091066071,4141774.1562668025,3802629.4100499195,-339144.74621688295,-8.188393027266649,2.075276936200578,11.11080985569711,13.832727746596726,2.171195988566429e-06,-9.4785470815349e-07
GUY,100,Guyana,Guyana,Co-operative Republic of Guyana,South America,10.595816520424705,11.168233802600298,0.5724172821755928,5.402295151791181,750053.3144943787,826410.6048597826,76357.29036540387,10.180248375660785,-4.777953223869604,39.944069975743936,28.9304596422258,2.1396271429109494e-06,7.35277648720167e-07
COM,53,Comoros,Comoros,Union of the Comoros,Africa,8.35834000745308,10.111688895609404,1.7533488881563244,20.97723814289529,628544.5643953042,764733.0835942577,136188.51919895352,21.667281353387356,-0.6900432104920675,31.60803315529497,36.572678486345694,1.937212669802793e-06,2.2522000785333223e-06
ISL,114,Iceland,Iceland,Iceland,Europe,3.5185480066525088,4.448150009187543,0.9296020025350344,26.420046018341615,327633.4969458637,394113.3116698652,66479.81472400151,20.29090900158669,6.129137016754925,14.096444494533102,17.639450532158765,8.52183314176439e-07,1.1940861954266534e-06
KOR,129,"Korea, South","Korea, South",Republic of Korea,Asia,3.5968486948244487,3.6615113692957864,0.06466267447133767,1.7977590929632823,50639570.110634744,51561334.51895737,921764.4083226249,1.8202453265476013,-0.022486233584319004,10.940136707877077,10.398179102457027,7.014778924128764e-07,8.306006950827521e-08
SWE,232,Sweden,Sweden,Kingdom of Sweden,Europe,0.8722549413960559,0.9452288303491878,0.07297388895313195,8.366119294931853,9722699.640395265,10605663.214268154,882963.5738728885,9.081465092312495,-0.7153457973806425,16.029741299039642,16.8602592854264,1.810883705896457e-07,9.373593558093529e-08
CUB,57,Cuba,Cuba,Republic of Cuba,North America,0.5128390000900254,0.6040899981744587,0.09125099808443338,17.793303174761455,11214379.263900178,10898580.639597246,-315798.62430293113,-2.8160151968420366,20.609318371603493,16.85626323486926,15.162310218242819,1.1573247656707892e-07,1.1721312651477362e-07
PRT,190,Madeira Islands,Portugal,Portuguese Republic,Europe,0.0,0.0,0.0,0.0,8658.374689736605,8690.440906402915,32.06621666630963,0.3703491453692807,-0.3703491453692807,0.0,12.466092317057786,0.0,0.0
QAT,195,Qatar,Qatar,State of Qatar,Asia,0.0,0.0,0.0,0.0,2326912.219022982,3084396.802936546,757484.5839135642,32.55320839870852,-32.55320839870852,0.0,15.018347181037297,0.0,0.0
PRT,190,Azores,Portugal,Portuguese Republic,Europe,0.0,0.0,0.0,0.0,15564.037133952408,15621.659305096377,57.622171143968444,0.3702263792359353,-0.3702263792359353,0.0,14.123233758675907,0.0,0.0
QX4,206,No Man's Land,,,Unassigned,0.0,0.0,0.0,0.0,5999.607632419667,7115.212211918457,1115.6045794987895,18.5946256463585,-18.5946256463585,0.0,22.30710704217202,0.0,0.0
QX2,196,DMZ - North Korea,,,Europe,0.0,0.0,0.0,0.0,8.304164705463336,9.157039568701293,0.8528748632379575,10.270447341643505,-10.270447341643505,0.0,18.777249341468014,0.0,0.0
QX2,196,Germany-Luxembourg Condominium,,,Europe,0.0,0.0,0.0,0.0,26326.87417364525,29541.38863950756,3214.5144658623103,12.210011886182174,-12.210011886182174,0.0,27.9566754609012,0.0,0.0
PYF,194,French Polynesia,French Polynesia,French Polynesia,Oceania,0.0,0.0,0.0,0.0,276301.27558077895,281268.25983458915,4966.984253810195,1.7976696790015563,-1.7976696790015563,0.0,18.76858517040823,0.0,0.0
QX2,196,DMZ - South Korea,,,Europe,0.0,0.0,0.0,0.0,0.0013472319981246983,0.001993824650071474,0.0006465926519467757,47.994157861957774,-47.994157861957774,0.0,5.973784329098393,0.0,0.0
PRI,188,Puerto Rico,Puerto Rico,Commonwealth of Puerto Rico,North America,0.0,0.0,0.0,0.0,3381643.4873577366,3091781.0889206845,-289862.39843705203,-8.57164273882512,8.57164273882512,0.0,11.382276997285597,0.0,0.0
PRY,193,Paraguay,Paraguay,Republic of Paraguay,South America,0.0,0.0,0.0,0.0,5974435.861590875,6812219.754342851,837783.8927519759,14.022811729187943,-14.022811729187943,0.0,28.433902439424607,0.0,0.0
XAA,267,Abu Musa and Tunb Islands,,,Asia,0.0,0.0,0.0,0.0,5405.438280915227,6056.28884519465,650.8505642794235,12.040662208231227,-12.040662208231227,0.0,22.239268004716845,0.0,0.0
SDN,213,Hala'ib Triangle,,,Africa,0.0,0.0,0.0,0.0,181.76413914659787,230.71969996458785,48.955560817989976,26.933564039552348,-26.933564039552348,0.0,35.019734501041206,0.0,0.0
TKL,243,Tokelau,Tokelau,Tokelau,Oceania,0.0,0.0,0.0,0.0,1713.9999781454446,2559.9999723110272,845.9999941655826,49.35822666001188,-49.35822666001188,0.0,25.811233454868677,0.0,0.0
TTO,247,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,North America,0.0,0.0,0.0,0.0,1419623.2078793733,1503847.8052814545,84224.59740208113,5.932883946571672,-5.932883946571672,0.0,17.63007871794498,0.0,0.0
TUN,248,Tunisia,Tunisia,Republic of Tunisia,Africa,0.0,0.0,0.0,0.0,10482389.231851479,11384326.868701013,901937.6368495338,8.604313548183583,-8.604313548183583,0.0,23.815613816589806,0.0,0.0
XQZ,301,Akrotiri,Akrotiri�,Akrotiri,Asia,0.0,0.0,0.0,0.0,12595.630868205782,14191.157437723714,1595.5265695179314,12.66730175100162,-12.66730175100162,0.0,16.088492300463678,0.0,0.0
TUV,250,Tuvalu,Tuvalu,Tuvalu,Oceania,0.0,0.0,0.0,0.0,10939.339050822304,9533.792371027783,-1405.546679794521,-12.84855212243254,12.84855212243254,0.0,32.992264334300906,0.0,0.0
XQT,298,Corisco Bay Islands,,,Africa,0.0,0.0,0.0,0.0,22.57008990412578,28.764899607980624,6.194809703854844,27.446987274616223,-27.446987274616223,0.0,35.735722315091465,0.0,0.0
XQR,297,Congo River Islands,,,Africa,0.0,0.0,0.0,0.0,64937.077917193674,87502.56054635179,22565.482629158112,34.74976600877101,-34.74976600877101,0.0,47.17444408365595,0.0,0.0
URY,255,Uruguay,Uruguay,Oriental Republic of Uruguay,South America,0.0,0.0,0.0,0.0,3361933.4292615177,3385633.315378443,23699.88611692516,0.7049481084499367,-0.7049481084499367,0.0,18.095647814078596,0.0,0.0
XQN,286,Abyei,,,Africa,0.0,0.0,0.0,0.0,81222.34380766252,118169.04504196433,36946.701234301814,45.488346558667345,-45.488346558667345,0.0,47.33640923362424,0.0,0.0
VCT,259,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,North America,0.0,0.0,0.0,0.0,106786.7251752369,99837.0015785149,-6949.723596722004,-6.508040756299545,6.508040756299545,0.0,21.08270323906486,0.0,0.0
XPR,285,Paracel Islands,Paracel Islands,(no long-form name),Asia,0.0,0.0,0.0,0.0,1552.8945389051805,1581.0746511114994,28.18011220631888,1.8146829356606782,-1.8146829356606782,0.0,7.653273508226506,0.0,0.0
VGB,261,"Virgin Islands, British","Virgin Islands, British",British Virgin Islands,North America,0.0,0.0,0.0,0.0,33466.99990089833,39614.999958621775,6148.000057723446,18.37033518369963,-18.37033518369963,0.0,14.244604196190643,0.0,0.0
VIR,262,"Virgin Islands, U.S.","Virgin Islands, U.S.",United States Virgin Islands,North America,0.0,0.0,0.0,0.0,101416.00021879797,84506.99990005771,-16909.00031874026,-16.672911850457787,16.672911850457787,0.0,16.47200821972079,0.0,0.0
XGZ,274,Gaza Strip,,,Asia,0.0,0.0,0.0,0.0,1757737.0241156125,2267835.442701071,510098.41858545854,29.020178308078215,-29.020178308078215,0.0,40.75408267067452,0.0,0.0
VUT,264,Vanuatu,Vanuatu,Republic of Vanuatu,Oceania,0.0,0.0,0.0,0.0,261811.45337508892,329896.58589645155,68085.13252136263,26.00540642651688,-26.00540642651688,0.0,38.12799380436335,0.0,0.0
WLF,265,Wallis and Futuna,Wallis and Futuna,Territory of the Wallis and Futuna Islands,Oceania,0.0,0.0,0.0,0.0,12229.000004980531,11234.99999331488,-994.000011665652,-8.128219897463598,8.128219897463598,0.0,19.919893222901454,0.0,0.0
TON,246,Tonga,Tonga,Kingdom of Tonga,Oceania,0.0,0.0,0.0,0.0,105673.5947178939,103008.70351181139,-2664.8912060825096,-2.5218137162804957,2.5218137162804957,0.0,35.19754861922756,0.0,0.0
TGO,240,Togo,Togo,Togolese Republic,Africa,0.0,0.0,0.0,0.0,7290691.636240126,9335759.416507388,2045067.780267262,28.050394699204716,-28.050394699204716,0.0,39.3128651810927,0.0,0.0
SEN,215,Senegal,Senegal,Republic of Senegal,Africa,0.0,0.0,0.0,0.0,14360963.919088194,18699951.60575134,4338987.686663145,30.213763582372653,-30.213763582372653,0.0,37.956422304961784,0.0,0.0
TCA,238,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,North America,0.0,0.0,0.0,0.0,35665.999966245,46698.99999710342,11033.00003085842,30.934223185387395,-30.934223185387395,0.0,16.01319087525123,0.0,0.0
SGP,216,Singapore,Singapore,Republic of Singapore,Asia,0.0,0.0,0.0,0.0,5491590.999762278,5852312.999565669,360721.9998033913,6.568624644825268,-6.568624644825268,0.0,11.66684010958487,0.0,0.0
SHN,218,"Saint Helena, Ascension, and Tristan da Cunha","Saint Helena, Ascension, and Tristan da Cunha","Saint Helena, Ascension, and Tristan da Cunha",Africa,0.0,0.0,0.0,0.0,4670.655766635934,4442.966149438623,-227.68961719731124,-4.874896129656457,4.874896129656457,0.0,13.607779299771183,0.0,0.0
SLB,219,Solomon Islands,Solomon Islands,Solomon Islands,Oceania,0.0,0.0,0.0,0.0,621395.525490403,820574.9077948079,199179.38230440498,32.053559147728556,-32.053559147728556,0.0,36.75045313673496,0.0,0.0
XZZ,318,Sapodilla Cayes,,,North America,0.0,0.0,0.0,0.0,8.347281531583576,9.726734609350387,1.3794530777668115,16.525776356618383,-16.525776356618383,0.0,33.475572476949,0.0,0.0
SMR,222,San Marino,San Marino,Republic of San Marino,Europe,0.0,0.0,0.0,0.0,30259.655859272927,30065.206707865,-194.44915140792727,-0.6426019922772495,0.6426019922772495,0.0,12.068432045562034,0.0,0.0
SPM,224,Saint Pierre and Miquelon,Saint Pierre and Miquelon,Territorial Collectivity of Saint Pierre and Miquelon,North America,0.0,0.0,0.0,0.0,5952.999998842372,5601.9999985669065,-351.00000027546594,-5.896186802347082,5.896186802347082,0.0,13.33452338863992,0.0,0.0
XXZ,317,Parsley Island,,,North America,0.0,0.0,0.0,0.0,4.6143047315999866,5.806160039966926,1.1918553083669394,25.829575151480505,-25.829575151480505,0.0,25.27994063217388,0.0,0.0
STP,228,Sao Tome and Principe,Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,Africa,0.0,0.0,0.0,0.0,195885.04840366085,234700.28066765243,38815.23226399158,19.815311367718543,-19.815311367718543,0.0,37.611465315737156,0.0,0.0
WSM,266,Samoa,Samoa,Independent State of Samoa,Oceania,0.0,0.0,0.0,0.0,198127.6925085364,215660.30436282186,17532.611854285467,8.849147553429498,-8.849147553429498,0.0,38.30429323182468,0.0,0.0
SUR,229,Suriname,Suriname,Republic of Suriname,South America,0.0,0.0,0.0,0.0,578089.5731430638,636619.2600990776,58529.686956013786,10.124674388743738,-10.124674388743738,0.0,25.488253884562535,0.0,0.0
XXD,310,Dhekelia,Dhekelia,Dhekelia,Asia,0.0,0.0,0.0,0.0,12917.41069617097,14550.485989212233,1633.0752930412636,12.642435325876464,-12.642435325876464,0.0,16.08849170110185,0.0,0.0
XWB,307,West Bank,,,Asia,0.0,0.0,0.0,0.0,1012296.379437839,1211634.422809555,199338.04337171593,19.691668114274478,-19.691668114274478,0.0,34.80477278210836,0.0,0.0
SXM,234,Sint Maarten,Sint Maarten,Country of Sint Maarten,North America,0.0,0.0,0.0,0.0,36907.63928161195,43452.88431696268,6545.24503535073,17.7341199891148,-17.7341199891148,0.0,14.98895695658216,0.0,0.0
XSV,305,Svalbard,Svalbard,Svalbard,Europe,0.0,0.0,0.0,0.0,7.122333038103534,7.725975972542074,0.6036429344385397,8.475353949459121,-8.475353949459121,0.0,12.44272563685138,0.0,0.0
SYC,235,Seychelles,Seychelles,Republic of Seychelles,Africa,0.0,0.0,0.0,0.0,105806.0123782589,131473.71167550655,25667.699297247644,24.259206750449145,-24.259206750449145,0.0,19.857105375779568,0.0,0.0
XXX,315,Koalou / Kourou,,,Africa,0.0,0.0,0.0,0.0,619.913566757692,838.9179182146181,219.0043514569261,35.32820754389606,-35.32820754389606,0.0,41.61153432093354,0.0,0.0
ABW,1,Aruba,Aruba,Country of Aruba,North America,0.0,0.0,0.0,0.0,103783.99894581076,108121.99892532975,4337.999979518994,4.179835064732874,-4.179835064732874,0.0,16.68208143565742,0.0,0.0
PLW,185,Palau,Palau,Republic of Palau,Oceania,0.0,0.0,0.0,0.0,17392.099562131665,17329.38333455377,-62.71622757789373,-0.3606018201186454,0.3606018201186454,0.0,18.007552977778357,0.0,0.0
ESP,72,Canary Islands,Spain,Kingdom of Spain,Europe,0.0,0.0,0.0,0.0,60137.546691528005,64137.50623100095,3999.9595394729477,6.651351376188497,-6.651351376188497,0.0,11.41050444929804,0.0,0.0
COG,50,Congo (Brazzaville),Congo (Brazzaville),Republic of the Congo,Africa,0.0,0.0,0.0,0.0,4709168.13609319,5996288.786345952,1287120.6502527623,27.33222966467663,-27.33222966467663,0.0,39.7964843142578,0.0,0.0
COK,51,Cook Islands,Cook Islands,Cook Islands,Oceania,0.0,0.0,0.0,0.0,17493.9999960661,13490.99999613928,-4002.9999999268202,-22.882131021075686,22.882131021075686,0.0,23.941887118883923,0.0,0.0
CUW,58,Curacao,Cura�ao,Country of Cura�ao,North America,0.0,0.0,0.0,0.0,165907.99974295718,185502.9998104453,19595.000067488116,11.81076265029223,-11.81076265029223,0.0,14.78197118817942,0.0,0.0
CXR,59,Christmas Island,Christmas Island,Territory of Christmas Island,Oceania,0.0,0.0,0.0,0.0,2079.998206168875,1243.372923270108,-836.6252828987672,-40.22240405869088,40.22240405869088,0.0,17.31334666422806,0.0,0.0
CYM,60,Cayman Islands,Cayman Islands,Cayman Islands,North America,0.0,0.0,0.0,0.0,60910.9999667268,75159.0000336813,14248.000066954497,23.39150576207516,-23.39150576207516,0.0,16.125813263926975,0.0,0.0
CZE,62,Czechia,Czechia,Czech Republic,Europe,0.0,0.0,0.0,0.0,9433327.078681402,9615616.40587185,182289.3271904476,1.9323969758496717,-1.9323969758496717,0.0,15.264619860885567,0.0,0.0
DMA,65,Dominica,Dominica,Commonwealth of Dominica,North America,0.0,0.0,0.0,0.0,67762.61479868842,63695.62644664288,-4066.9883520455405,-6.001817320845563,6.001817320845563,0.0,17.736197564416678,0.0,0.0
DNK,66,Denmark,Denmark,Kingdom of Denmark,Europe,0.0,0.0,0.0,0.0,5659971.681174583,5990917.229428449,330945.5482538659,5.847123747184307,-5.847123747184307,0.0,15.628977206968392,0.0,0.0
ESP,72,Spain (Plazas de Soberania),Spain,Kingdom of Spain,Europe,0.0,0.0,0.0,0.0,7356.874175896559,7508.250039602404,151.3758637058454,2.0576111550446314,-2.0576111550446314,0.0,18.000156226160104,0.0,0.0
CCK,43,Cocos (Keeling) Islands,Cocos (Keeling) Islands,Territory of Cocos (Keeling) Islands,Oceania,0.0,0.0,0.0,0.0,588.2263824809862,614.8568039427186,26.63042146173234,4.527240235198587,-4.527240235198587,0.0,20.745652716945475,0.0,0.0
EST,75,Estonia,Estonia,Republic of Estonia,Europe,0.0,0.0,0.0,0.0,1313890.0204356662,1354600.679624429,40710.65918876277,3.098483020311223,-3.098483020311223,0.0,15.461134198862558,0.0,0.0
FIN,77,Finland,Finland,Republic of Finland,Europe,0.0,0.0,0.0,0.0,5501280.11027731,5653445.545090348,152165.43481303845,2.7660004901180724,-2.7660004901180724,0.0,14.49226829360564,0.0,0.0
FJI,78,Fiji,Fiji,Republic of Fiji,Oceania,0.0,0.0,0.0,0.0,915140.8326215614,928621.2724182192,13480.439796657884,1.4730453845055842,-1.4730453845055842,0.0,26.95237266492367,0.0,0.0
FLK,79,Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),South America,0.0,0.0,0.0,0.0,3372.8289841275923,3470.8240133522872,97.99502922469492,2.9054253769122558,-2.9054253769122558,0.0,16.220088336000067,0.0,0.0
FRO,81,Faroe Islands,Faroe Islands,Faroe Islands,Europe,0.0,0.0,0.0,0.0,48586.8172190071,55710.77082975838,7123.953610751283,14.662317925950502,-14.662317925950502,0.0,19.922097613416796,0.0,0.0
FSM,82,"Micronesia, Federated States of","Micronesia, Federated States of",Federated States of Micronesia,Oceania,0.0,0.0,0.0,0.0,73077.37958575283,76363.42828022984,3286.048694477009,4.496670122963272,-4.496670122963272,0.0,31.518106582695456,0.0,0.0
GAB,83,Gabon,Gabon,Gabonese Republic,Africa,0.0,0.0,0.0,0.0,1710417.0631964796,2202408.5100484206,491991.44685194106,28.76441409748874,-28.76441409748874,0.0,36.19502172044202,0.0,0.0
GBR,84,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,Europe,0.0,0.0,0.0,0.0,65111910.51487869,69343779.03723755,4231868.522358865,6.499376978643319,-6.499376978643319,0.0,17.081442158141872,0.0,0.0
