iso3,country_id,country_name,country_name_dos_short,country_name_dos_long,region,highland_population_total_2015,highland_population_total_2025,highland_absolute_change_2015_2025,highland_percent_change_2015_2025,lowland_population_total_2015,lowland_population_total_2025,lowland_absolute_change_2015_2025,lowland_percent_change_2015_2025,highland_minus_lowland_growth_difference_pp,highland_youth_share_2025_percent,lowland_youth_share_2025_percent,country_share_global_highland_2025_population_percent,country_share_global_highland_absolute_growth_percent
TUR,249,Turkey,Turkey,Republic of Turkey,Asia,3578781.0246979725,3967042.801037252,388261.7763392795,10.848995053337928,46285889.149994016,51300701.596917525,5014812.446923509,10.834430404204857,0.014564649133070873,26.81489628461372,19.972715384867882,0.7600120667434923,0.49872744042533607
NPL,176,Nepal,Nepal,Nepal,Asia,3248231.8059257604,3472154.5441044946,223922.7381787342,6.893680979609619,15102533.04610465,16137930.278730707,1035397.2326260582,6.855785247846984,0.037895731762635165,29.852289792426546,29.752727559484736,0.6652006251174514,0.28763174968664756
BOL,34,Bolivia,Bolivia,Plurinational State of Bolivia,South America,2885283.7049467433,3299058.728362091,413775.02341534756,14.34087825422301,3989260.3685903596,4561533.646516671,572273.2779263118,14.3453478853407,-0.004469631117689943,29.195709202289223,31.236806621608594,0.6320386666347655,0.5314995472527352
IDN,107,Indonesia,Indonesia,Republic of Indonesia,Asia,2293967.3961298866,2504829.450478463,210862.05434857635,9.19202490429106,225701518.07482585,246756809.4894808,21055291.41465494,9.32882135408348,-0.13679644979242056,21.31306793779236,24.449728725839908,0.4798790189509292,0.2708551267642633
SAU,212,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,Asia,2218832.660118072,2344715.1531383083,125882.49302023649,5.67336578746492,13411608.632327557,15546182.078104978,2134573.445777422,15.915864414893615,-10.242498627428695,25.065465244981578,23.279526428652574,0.4492040794204418,0.1616977445739651
LSO,138,Lesotho,Lesotho,Kingdom of Lesotho,Africa,2061325.6753308068,2315760.774908073,254435.09957726602,12.343275137075738,0.0,0.0,0.0,0.0,12.343275137075738,34.30432141946355,0.0,0.44365695579619446,0.3268252856692498
MDG,147,Madagascar,Madagascar,Republic of Madagascar,Africa,1694862.1108537954,2156085.259807727,461223.1489539314,27.213019041507035,12553091.507099682,16365971.0885695,3812879.581469817,30.374028416134447,-3.1610093746274117,39.096725878744834,39.09672608702937,0.41306607883161645,0.5924472986022258
ERI,71,Eritrea,Eritrea,State of Eritrea,Africa,1429917.5055277846,1645256.2982358912,215338.79270810657,15.059525593305098,546547.1346115756,634245.4101216381,87698.27551006246,16.04587600159839,-0.9863504082932923,37.858216830664404,37.85831865687973,0.3152006928733072,0.27660555701406314
CMR,48,Cameroon,Cameroon,Republic of Cameroon,Africa,1163784.7119976815,1392144.0101753706,228359.29817768908,19.62212562370763,10022048.25372426,13455942.370345036,3433894.1166207753,34.26339636056649,-14.64127073685886,43.80256249592432,41.54949053475287,0.2667090574624787,0.29333057029534615
KGZ,125,Kyrgyzstan,Kyrgyzstan,Kyrgyz Republic,Asia,1061500.648088948,1296427.1902378127,234926.5421488646,22.131549572938084,10012.890127803676,12061.789505941573,2048.8993781378977,20.462617206280314,1.6689323666577707,34.52726038445106,36.04855965421017,0.24837148416383986,0.30176628294075225
