iso3,country_name,lowland_population_2025,highland_population_2025,lowland_youth_population_2025,highland_youth_population_2025,lowland_youth_share_2025_percent,highland_youth_share_2025_percent,highland_minus_lowland_youth_share_difference_pp,lowland_older_population_2025,highland_older_population_2025,lowland_older_age_share_2025_percent,highland_older_age_share_2025_percent,highland_minus_lowland_older_age_share_difference_pp
ECU,Ecuador,10111745.6039113458,6897770.5111158974,2509471.8614904112,1552506.5067465270,24.8173951342,22.5073667534,-2.3100283808,775307.5476609787,667424.9696364221,7.6673957003,9.6759520857,2.0085563854
ERI,Eritrea,634245.4101216380,1645256.2982358912,240114.6484304835,622864.6968063064,37.8583186569,37.8582168307,-0.0001018262,26833.4346105391,69608.5235070942,4.2307652814,4.2308619989,0.0000967175
ETH,Ethiopia,4791686.8287914628,106551692.4467979521,1826640.2035656194,41296058.8161402196,38.1210264534,38.7568304809,0.6358040275,81705.2290613603,3703500.8728062660,1.7051454317,3.4757785520,1.7706331203
GTM,Guatemala,4604851.2390201297,7711747.5166114578,1477965.5740711915,2439011.7434109622,32.0958375712,31.6272250635,-0.4686125077,221769.9760788054,372078.8158510602,4.8160073924,4.8248314023,0.0088240100
HND,Honduras,5047703.5295285927,449195.4822124254,1529885.3687180548,144374.9543598336,30.3085424841,32.1407850428,1.8322425587,223606.2301028324,17991.5628903017,4.4298606048,4.0052858060,-0.4245747988
IND,India,1233706082.8942043781,13560865.4604267217,306187731.5172741413,3445503.2212247010,24.8185313960,25.4076941570,0.5891627610,88277779.2642616034,933095.0668233361,7.1554951774,6.8807928929,-0.2747022844
IDN,Indonesia,246756809.4894807935,2504829.4504784634,60331370.5327156410,533856.0025063059,24.4497287258,21.3130679378,-3.1366607880,18165574.9133229777,113578.2859134902,7.3617319623,4.5343720265,-2.8273599358
IRN,Iran,19029332.9406220689,24288631.5399284959,4232888.9097195882,5401756.6278650500,22.2440214953,22.2398557901,-0.0041657052,1599175.9368059400,2041489.2852357905,8.4037414333,8.4051227089,0.0013812756
KEN,Kenya,8241199.7197275059,30906130.2979654968,3410157.8346765689,10658611.5043987818,41.3793858983,34.4870464262,-6.8923394721,178278.5481738606,881784.4794191545,2.1632596495,2.8531054225,0.6898457730
MDG,Madagascar,16365971.0885695014,2156085.2598077268,6398558.8879804350,842958.7437390505,39.0967260870,39.0967258787,-0.0000002083,562863.2817944494,74152.7185509684,3.4392293543,3.4392294189,0.0000000646
MWI,Malawi,2559468.4876893265,349821.4294692097,1080221.3747415817,140457.6231715347,42.2049101185,40.1512346984,-2.0536754201,68518.5977085889,9117.3745319522,2.6770635403,2.6062938871,-0.0707696532
MEX,Mexico,39541935.3146499470,70139077.6594932973,9616775.4291919637,16737596.2261553835,24.3204470208,23.8634393047,-0.4570077161,3279064.4261067286,5876177.4151450386,8.2926250322,8.3778937665,0.0852687344
MAR,Morocco,26623148.8044772372,1129857.9115402142,6582425.4797316743,315594.8108919590,24.7244438593,27.9322565845,3.2078127253,2129028.8252507546,99571.3189389116,7.9969084081,8.8127292752,0.8158208671
NAM,Namibia,256116.7041532329,625019.4176218790,67857.9228970766,176041.2937273368,26.4949227429,28.1657319379,1.6708091950,6227.3676611793,11141.5591219596,2.4314570507,1.7825940775,-0.6488629732
NPL,Nepal,16137930.2787307072,3472154.5441044946,4801474.4295703433,1036517.6365469805,29.7527275595,29.8522897924,0.0995622329,991059.6508936739,247257.3192092378,6.1411818850,7.1211495937,0.9799677087
NGA,Nigeria,201649711.3104856610,212425.4096387716,80772835.5028030425,95954.3875484838,40.0560134591,45.1708614858,5.1148480266,6274900.5529568112,6599.5604639010,3.1117825620,3.1067660291,-0.0050165329
PAK,Pakistan,208654704.4218329489,13243946.9485349245,74551415.7428141087,5550591.8392290147,35.7295638023,41.9104052651,6.1808414629,9145172.6213008258,483149.6000889532,4.3829218453,3.6480786428,-0.7348432025
PNG,Papua New Guinea,5148779.3869578522,4211689.9991014348,1913530.1061627672,1192910.4797453475,37.1647328881,28.3237959109,-8.8409369772,175160.1597800578,155963.3202728266,3.4019744607,3.7031054115,0.3011309509
PER,Peru,20881146.4276605807,7277444.2363814041,4822981.6408311520,1802531.3485474014,23.0973029069,24.7687414702,1.6714385633,1900685.0319805953,736090.4124593968,9.1023978907,10.1146829649,1.0122850743
PHL,Philippines,111243722.9441224039,188577.6293651193,30430409.2388675697,50759.9233886377,27.3547202786,26.9172560709,-0.4374642077,6296504.1043601567,9894.5466473199,5.6600983298,5.2469355356,-0.4131627942
RUS,Russia,138049586.3428753316,227637.4028829110,23681298.1372952238,39051.8107550210,17.1541971002,17.1552698548,0.0010727546,24106846.1276715100,39749.0867100797,17.4624544458,17.4615797785,-0.0008746673
SAU,Saudi Arabia,15546182.0781049784,2344715.1531383088,3619077.5655188980,587713.7618036992,23.2795264287,25.0654652450,1.7859388163,483478.9832207946,87872.8086998138,3.1099531756,3.7476965414,0.6377433658
SOM,Somalia,15071263.3001151197,320033.4657920821,7018722.4611948943,148772.1255697272,46.5702331744,46.4864276620,-0.0838055124,392668.8502809944,8344.1616348226,2.6054143071,2.6072778402,0.0018635331
ZAF,South Africa,19279624.2256201133,13756307.5398372822,4653446.6172139226,3175965.5784829506,24.1366043381,23.0873406202,-1.0492637179,1422479.8050838332,782467.2252279335,7.3781510907,5.6880614435,-1.6900896472
LKA,Sri Lanka,20264992.3630623855,191456.4443806482,4400492.8015918601,46869.1704771324,21.7147518378,24.4803305675,2.7655787297,2484029.9302009353,21914.9729571551,12.2577392860,11.4464535409,-0.8112857451
SDN,Sudan,33139017.6648923606,147612.8642052640,12690147.6344939601,67280.8604273616,38.2936747336,45.5792662717,7.2855915381,1155834.3788775278,4328.3898783409,3.4878353685,2.9322579042,-0.5555774642
CHE,Switzerland,5314429.6527231093,113842.0303347729,791551.8407649943,14392.8531719630,14.8943892852,12.6428289531,-2.2515603321,1046770.6020960863,27153.1246157563,19.6967627854,23.8515814729,4.1548186875
TJK,Tajikistan,4165775.8412507442,628904.4815134980,1537962.7339162999,216509.2440557769,36.9189988258,34.4264113900,-2.4925874358,167786.9591865178,31066.6804462280,4.0277481454,4.9398090425,0.9120608971
TZA,Tanzania,17389462.7302808613,9708705.2875162680,6195613.9575681509,4202414.6928989394,35.6285530707,43.2850165748,7.6564635041,547686.1365531983,316567.1601346196,3.1495287983,3.2606526901,0.1111238919
TUR,Turkey,51300701.5969175324,3967042.8010372524,10246143.1203927100,1063758.4126643743,19.9727153849,26.8148962846,6.8421808997,5366555.5005290927,329920.2960640150,10.4609787653,8.3165297833,-2.1444489821
USA,United States,314788264.3963469863,8366529.5585105503,53945891.7003602609,1464669.4489602037,17.1371991277,17.5062962333,0.3690971056,56866748.8712038994,1537908.3413264789,18.0650790716,18.3816758259,0.3165967544
VEN,Venezuela,21243549.9656913690,439987.2591854236,5530914.1898479639,109908.0337847571,26.0357341347,24.9798219131,-1.0559122217,2004681.1940422712,44235.7620133452,9.4366581729,10.0538733997,0.6172152269
VNM,Vietnam,94353119.1480422169,204808.0023601751,21297063.7670018822,57006.3963009928,22.5716584245,27.8340668548,5.2624084303,8955138.6820306368,13395.2407634171,9.4910891796,6.5403893447,-2.9506998349
YEM,Yemen,10282724.3747168425,20076953.3656550869,4067728.7331531569,8526641.5780420695,39.5588618825,42.4697981947,2.9109363122,273823.3010099559,480984.1137400904,2.6629450623,2.3957026994,-0.2672423629
ZMB,Zambia,193569.4017779409,564393.2124385884,82508.6566317665,250853.5446244814,42.6248445642,44.4465913296,1.8217467653,3879.8236541991,11559.5098338553,2.0043579298,2.0481305549,0.0437726251
ZWE,Zimbabwe,887007.5596850788,1143476.0749735613,394613.3305503951,422062.1873808629,44.4881586681,36.9104519647,-7.5777067034,27870.4933882277,30078.4969943840,3.1420807054,2.6304439291,-0.5116367763
