removed_region,removed_highland_population_2025,removed_highland_absolute_growth_2015_2025,remaining_highland_population_2015,remaining_highland_population_2025,remaining_highland_absolute_change_2015_2025,remaining_highland_growth_percent,remaining_lowland_population_2015,remaining_lowland_population_2025,remaining_lowland_absolute_change_2015_2025,remaining_lowland_growth_percent,remaining_highland_minus_lowland_growth_difference_pp,contrast_reverses_highland_not_greater_than_lowland
Africa,214448913.59389806,46949948.61069241,276621569.4041848,307522114.8445423,30900545.440357506,11.170692692877923,5039483846.5053,5372843309.081714,333359462.5764141,6.614952497716346,4.555740195161577,False
Europe,580356.4108533647,8962.366481997962,443549140.34301907,521390672.027587,77841531.68456793,17.549697340044244,5039022979.486876,5551617220.514766,512594241.0278902,10.17249262634019,7.377204713704053,False
Oceania,4213044.966615249,1028970.277599882,440936459.69837505,517757983.4718251,76821523.77345008,17.422356914191276,5693574394.839141,6203002379.798401,509427984.95926,8.94741948785325,8.474937426338027,False
Unassigned,0.0,0.0,444120534.38739043,521971028.4384404,77850494.05104995,17.52913635448879,5728285873.478854,6242350604.860676,514064731.38182163,8.974145891738189,8.554990462750602,False
South America,40599777.66775901,4738413.505213087,408259170.2248445,481371250.7706814,73112080.54583687,17.90825188459849,5484784248.971182,5984778405.987173,499994157.0159912,9.1160223323238,8.792229552274689,False
Asia,175067669.7493269,17531215.630423438,286584080.268487,346903358.6891135,60319278.42062652,21.047672419248222,2079336783.279697,2311218129.054146,231881345.77444887,11.15169738923711,9.895975030011112,False
North America,87061266.04998772,7592983.660639026,364652251.99804175,434909762.38845265,70257510.3904109,19.266989304316212,5305263111.957872,5788336271.14045,483073159.18257713,9.105545738037904,10.161443566278308,False
