metric,computed_value,target_approximate_value,absolute_difference,relative_difference_percent
<500 m 2025 population,6242357720.072886,6240000000.0,2357720.072886467,0.03778397552702672
<100 m 2025 population,3513598213.609451,3510000000.0,3598213.609450817,0.10251320824646203
1500-3500 m 2025 population,521971028.43844026,522000000.0,-28971.56155973673,-0.005550107578493627
highland growth,17.52913635448875,17.5,0.02913635448874885,0.166493454221422
lowland growth,8.974155967883942,9.0,-0.025844032116058457,-0.2871559124006495
