iso3,country_name,elevation_group,pop_total_2015,pop_total_2025,pop_total_change_2015_2025,pop_total_pct_change_2015_2025,growth_percent,elevation_label
JPN,Japan,1500-2499m,3817.6659843591874,3683.5764150891746,-134.08956927001282,-3.512344186719634,-3.512344186719634,"1,500-2,499 m"
JPN,Japan,2500-3499m,179.5736206371647,172.97425289413025,-6.599367743034463,-3.6750207071720933,-3.6750207071720933,"2,500-3,499 m"
KAZ,Kazakhstan,1500-2499m,75163.73621367972,86632.77892974998,11469.042716070267,15.258744833366752,15.258744833366752,"1,500-2,499 m"
KAZ,Kazakhstan,2500-3499m,1212.7669417924321,1382.5468341777707,169.7798923853386,13.99938327263515,13.99938327263515,"2,500-3,499 m"
KEN,Kenya,1500-2499m,24268291.962773178,29653445.00913598,5385153.046362802,22.19007853796824,22.19007853796824,"1,500-2,499 m"
KEN,Kenya,2500-3499m,1025098.4807233152,1252662.4275017863,227563.94677847112,22.19922778715863,22.19922778715863,"2,500-3,499 m"
KGZ,Kyrgyzstan,1500-2499m,1029130.3784694748,1256803.8900709152,227673.51160144038,22.12290263358438,22.12290263358438,"1,500-2,499 m"
KGZ,Kyrgyzstan,2500-3499m,32370.269619473922,39623.30016689869,7253.030547424769,22.406457013448392,22.406457013448392,"2,500-3,499 m"
LAO,Laos,1500-2499m,6677.558095815706,7360.054316564858,682.4962207491517,10.220745532364859,10.220745532364859,"1,500-2,499 m"
LBN,Lebanon,1500-2499m,19150.8995273226,17117.47539138553,-2033.424135937068,-10.617904046940357,-10.617904046940357,"1,500-2,499 m"
LBN,Lebanon,2500-3499m,2.112405093988741,1.8754927874481382,-0.2369123065406029,-11.215287598708358,-11.215287598708358,"2,500-3,499 m"
LBY,Libya,1500-2499m,,,,,,"1,500-2,499 m"
LIE,Liechtenstein,1500-2499m,559.6138318690419,599.7273848364343,40.11355296739248,7.168077463957263,7.168077463957263,"1,500-2,499 m"
LKA,Sri Lanka,1500-2499m,183766.75678758416,191456.4443806482,7689.687593064038,4.184482399040508,4.184482399040508,"1,500-2,499 m"
LSO,Lesotho,1500-2499m,2010973.078237786,2259390.5641797893,248417.48594200332,12.353098538727895,12.353098538727895,"1,500-2,499 m"
LSO,Lesotho,2500-3499m,50352.59709302138,56370.21072828392,6017.61363526254,11.950949866886909,11.950949866886909,"2,500-3,499 m"
MAR,Morocco,1500-2499m,1007977.8308487631,1116676.5693344185,108698.7384856554,10.783842179755691,10.783842179755691,"1,500-2,499 m"
MAR,Morocco,2500-3499m,11961.506920510124,13181.342205795747,1219.8352852856224,10.198006767809485,10.198006767809485,"2,500-3,499 m"
MDG,Madagascar,1500-2499m,1694815.9376446835,2156032.8599774092,461216.9223327257,27.2133930350978,27.2133930350978,"1,500-2,499 m"
MDG,Madagascar,2500-3499m,46.1732091125345,52.399830318169236,6.226621205634736,13.485355090782317,13.485355090782317,"2,500-3,499 m"
MEX,Mexico,1500-2499m,58288435.222621955,63580908.538570404,5292473.315948449,9.079799956431874,9.079799956431874,"1,500-2,499 m"
MEX,Mexico,2500-3499m,6004167.56460672,6558169.120922953,554001.5563162332,9.226950286696754,9.226950286696754,"2,500-3,499 m"
MKD,North Macedonia,1500-2499m,611.899844420533,560.9666226949613,-50.933221725571684,-8.323784062047812,-8.323784062047812,"1,500-2,499 m"
MMR,Burma,1500-2499m,485849.4115212554,520777.5701039943,34928.15858273889,7.189091466299084,7.189091466299084,"1,500-2,499 m"
MMR,Burma,2500-3499m,5477.9274402848205,6251.675552344622,773.7481120598013,14.12483316901275,14.12483316901275,"2,500-3,499 m"
MNE,Montenegro,1500-2499m,4642.644660198173,4190.639103365629,-452.00555683254424,-9.735949871581388,-9.735949871581388,"1,500-2,499 m"
MNG,Mongolia,1500-2499m,605093.0557727505,686280.1201291344,81187.06435638387,13.41728575164389,13.41728575164389,"1,500-2,499 m"
MNG,Mongolia,2500-3499m,2226.922732465392,2571.9880377422232,345.06530527683117,15.495162910067142,15.495162910067142,"2,500-3,499 m"
MOZ,Mozambique,1500-2499m,35111.796413410484,46609.5891820865,11497.792768676016,32.7462389941535,32.7462389941535,"1,500-2,499 m"
MWI,Malawi,1500-2499m,269148.9767960477,349779.6994451789,80630.7226491312,29.957655276627904,29.957655276627904,"1,500-2,499 m"
MYS,Malaysia,1500-2499m,11409.542035526205,13329.034256052684,1919.4922205264793,16.823569382098803,16.823569382098803,"1,500-2,499 m"
MYS,Malaysia,2500-3499m,88.71023154475552,99.05176601682615,10.341534472070634,11.657656948909203,11.657656948909203,"2,500-3,499 m"
NAM,Namibia,1500-2499m,478016.7676208738,625019.4176218795,147002.65000100568,30.75261370697291,30.75261370697291,"1,500-2,499 m"
NER,Niger,1500-2499m,4801.5909046026545,5710.888664393385,909.2977597907302,18.937426737440415,18.937426737440415,"1,500-2,499 m"
NGA,Nigeria,1500-2499m,170558.25922609243,212425.40963877164,41867.15041267921,24.54712577546891,24.54712577546891,"1,500-2,499 m"
NIC,Nicaragua,1500-2499m,2114.029178634268,2387.9959236942223,273.96674505995406,12.959459019243317,12.959459019243317,"1,500-2,499 m"
NOR,Norway,1500-2499m,142.5153596424844,153.26660825267766,10.751248610193244,7.5439227302684735,7.5439227302684735,"1,500-2,499 m"
NPL,Nepal,1500-2499m,3042689.112134657,3253700.556927314,211011.44479265716,6.935031382309645,6.935031382309645,"1,500-2,499 m"
NPL,Nepal,2500-3499m,205542.69379110404,218453.98717718114,12911.2933860771,6.281562797459019,6.281562797459019,"2,500-3,499 m"
NZL,New Zealand,1500-2499m,171.60706393549088,197.6143956969045,26.00733176141361,15.15516387553258,15.15516387553258,"1,500-2,499 m"
OMN,Oman,1500-2499m,12386.872790654492,16757.33726915285,4370.4644784983575,35.28303351751328,35.28303351751328,"1,500-2,499 m"
PAK,Pakistan,1500-2499m,10626928.2112046,12451886.324631765,1824958.113427166,17.172959835213756,17.172959835213756,"1,500-2,499 m"
