removed_iso3,removed_country_name,removed_region,removed_highland_population_2025,removed_highland_absolute_growth_2015_2025,remaining_highland_population_2015,remaining_highland_population_2025,remaining_highland_absolute_change_2015_2025,remaining_highland_growth_percent,remaining_lowland_population_2015,remaining_lowland_population_2025,remaining_lowland_absolute_change_2015_2025,remaining_lowland_growth_percent,remaining_highland_minus_lowland_growth_difference_pp,contrast_reverses_highland_not_greater_than_lowland
SRB,Serbia,Europe,299.7967787958917,-152.3410436695147,444120082.24956805,521970728.64166147,77850646.39209342,17.529188501848957,5721536093.38516,6236051855.251128,514515761.86596775,8.992615854697043,8.536572647151914,False
ZMB,Zambia,Africa,564393.2124385883,146198.4762323883,443702339.6511843,521406635.2260017,77704295.57481736,17.512708099737413,5728147322.133572,6242164150.671108,514016828.5375366,8.973526685519674,8.539181414217738,False
PRT,Portugal,Europe,439.0278632203203,1.4865369364268304,444120096.8460642,521970589.41057706,77850492.56451285,17.529153289250157,5718492979.438193,6232523678.858225,514030699.42003155,8.988918955891275,8.540234333358882,False
LBN,Lebanon,Asia,17119.350884172978,-2033.6610482436117,444101381.37545806,521953909.08755606,77852527.712098,17.53035027069166,5723750664.198684,6238314946.5408745,514564282.34219074,8.98998423465095,8.540366036040709,False
NAM,Namibia,Africa,625019.417621879,147002.65000100544,443642517.61976963,521346009.0208184,77703491.40104878,17.514888297439,5728095946.824502,6242101603.368733,514005656.5442314,8.973412130590829,8.541476166848172,False
ARG,Argentina,South America,273219.7749771285,15063.119870758615,443862377.7322841,521697808.6634631,77835430.93117899,17.53593790238412,5692133364.921413,6204090929.355272,511957564.4338589,8.994124550715389,8.541813351668731,False
BGR,Bulgaria,Europe,5332.646556274246,-374.5129351576952,444114827.2278991,521965695.791884,77850868.56398493,17.529445943050103,5723394737.925924,6237776448.633947,514381710.7080231,8.987353384862418,8.542092558187685,False
HRV,Croatia,Europe,11.33301403093435,-0.7379095731836287,444120522.31646687,521971017.10542625,77850494.78895938,17.52913699707069,5724150098.930218,6238555090.662836,514404991.73261833,8.986574126152897,8.542562870917793,False
CZE,Czechia,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5718858546.007804,6232742103.667015,513883557.65921116,8.985771435419412,8.543364919069337,False
KGZ,Kyrgyzstan,Asia,1296427.1902378127,234926.5421488646,443059033.73930156,520674601.24820244,77615567.50890088,17.518109687064936,5728281860.196357,6242345658.2833805,514063798.08702374,8.974135886347646,8.54397380071729,False
HKG,Hong Kong,Asia,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5720955779.188632,6234970239.040288,514014459.85165596,8.984765477850896,8.544370876637853,False
MDA,Moldova,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5724974690.170074,6239337815.22173,514363125.05165577,8.984548454595446,8.544587899893303,False
PRI,Puerto Rico,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5724910229.599127,6239265938.983966,514355709.38483906,8.984520084271358,8.544616270217391,False
BIH,Bosnia and Herzegovina,Europe,1544.7825320494787,-163.76389410197157,444118825.8409643,521969483.6559082,77850657.81494391,17.529240663808668,5725743726.045174,6240102934.905884,514359208.86071014,8.98327332606594,8.545967337742729,False
BEL,Belgium,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5717087623.085427,6230643583.4290695,513555960.34364223,8.982824721277995,8.546311633210754,False
SVK,Slovakia,Europe,378.3758333380343,5.171244062274582,444120161.18280125,521970650.06260693,77850488.87980568,17.529149920253715,5723620856.036482,6237621099.426384,514000243.3899021,8.980333539175746,8.54881638107797,False
FIN,Finland,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5722790592.976208,6236704274.527796,513913681.55158806,8.980123825993795,8.549012528494954,False
LTU,Lithuania,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5725369284.376597,6239505885.589908,514136601.21331024,8.979972743702097,8.549163610786652,False
NLD,Netherlands,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5711231679.488654,6224072688.763085,512841009.2744312,8.979516819747499,8.54961953474125,False
LVA,Latvia,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5726306542.509217,6240494750.296363,514188207.7871456,8.979404158161481,8.549732196327268,False
URY,Uruguay,South America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5724929939.657224,6238972086.757508,514042147.1002846,8.979012014443317,8.550124340045432,False
ALB,Albania,Europe,1952.0244898144724,-429.71260666424223,444118152.650294,521969076.41395044,77850923.76365644,17.52932711691196,5725818194.493358,6239934388.771086,514116194.2777281,8.978912302387887,8.550414814524075,False
MKD,North Macedonia,Europe,560.9666226949614,-50.93322172557157,444119922.4875461,521970467.47181755,77850544.98427147,17.529171974142756,5727004088.1041355,6241180813.043613,514176724.9394779,8.978109968657115,8.55106200548564,False
JAM,Jamaica,North America,19.177272941714307,0.18502098953486268,444120515.39513856,521971009.26116735,77850493.86602879,17.52913706244,5725844497.6461525,6239875264.554301,514030766.90814877,8.97737909437573,8.55175796806427,False
DNK,Denmark,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5722631901.405311,6236366802.843458,513734901.43814754,8.977248760522048,8.5518875939667,False
SGP,Singapore,Asia,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5722800282.086722,6236505407.07332,513705124.986598,8.976464312315372,8.552672042173377,False
MUS,Mauritius,Africa,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5727075310.674132,6241162343.617534,514087032.94340134,8.976432211136547,8.552704143352202,False
SLV,El Salvador,North America,17749.595384147782,512.9533484877174,444103297.74535483,521953278.84305614,77849981.09770131,17.529701196305876,5725636599.193229,6239626521.449595,513989922.2563667,8.976991699556876,8.552709496749,False
SVN,Slovenia,Europe,224.3719010969776,6.4942004519301975,444120316.50968987,521970804.06653917,77850487.5568493,17.52914349171656,5726474334.6881695,6240488036.596319,514013701.9081497,8.976093698604517,8.553049793112043,False
MTQ,Martinique,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5727907402.225056,6242016880.981823,514109478.7567673,8.975520074871618,8.553616279617131,False
EST,Estonia,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5726977983.06605,6241003119.393262,514025136.32721233,8.975503971677904,8.553632382810845,False
FJI,Fiji,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5727376732.253863,6241429098.800468,514052366.5466051,8.975354522284286,8.553781832204463,False
GLP,Guadeloupe,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5727889166.207275,6241985897.92684,514096731.71956444,8.975326107086214,8.553810247402534,False
XKS,Kosovo,Europe,3019.735237030017,-175.30305828197788,444117339.34909517,521968008.70320326,77850669.3541081,17.529301933630236,5727766737.071249,6241860713.282533,514093976.2112837,8.975469843839221,8.553832089791015,False
AZE,Azerbaijan,Asia,80064.05813200424,4971.983037421349,444045442.3122959,521890964.3803083,77845522.06801236,17.53098098758636,5720180852.250475,6233681558.603164,513500706.3526888,8.97700124552292,8.55397974206344,False
REU,Reunion,Africa,2590.0692125564583,43.77495489082958,444117988.09313285,521968438.3692277,77850450.27609485,17.529226998967985,5727591925.064391,6241645923.829046,514053998.7646551,8.97504580441764,8.554181194550345,False
TTO,Trinidad and Tobago,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5726872249.878606,6240853872.267605,513981622.388999,8.974909862881855,8.554226491606894,False
TUN,Tunisia,Africa,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5717809483.854633,6230973393.2041855,513163909.34955215,8.97483399540632,8.55430235908243,False
TJK,Tajikistan,Asia,628904.481513498,130980.14606939984,443622610.0519464,521342123.95692676,77719513.90498036,17.519286020133134,5724959351.344483,6238191944.231636,513232592.8871527,8.96482509987817,8.554460920254964,False
VIR,"Virgin Islands, U.S.",North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728190457.0862665,6242273213.072987,514082755.9867201,8.974610042002972,8.554526312485777,False
NOR,Norway,Europe,153.26660825267766,10.751248610193244,444120391.87203085,521970875.171832,77850483.29980117,17.529139558679184,5723204982.476735,6236839540.070333,513634557.5935974,8.974596562000484,8.5545429966787,False
MMR,Burma,Asia,527029.2456563389,35701.90669479867,443629207.04842895,521443999.19278395,77814792.144355,17.540502498037807,5684266268.389958,6195051167.378087,510784898.98812866,8.985942509917047,8.55455998812076,False
BRB,Barbados,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728014198.915788,6242076179.002944,514061980.0871563,8.974523495148794,8.554612859339954,False
PYF,French Polynesia,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728015571.8109045,6242076451.813052,514060880.0021477,8.974502138785702,8.554634215703047,False
CPV,Cabo Verde,Africa,1347.7902785800395,-138.8197903827563,444119047.7773215,521969680.6481617,77850632.87084019,17.529226287514245,5727828441.146313,6241876048.4640665,514047607.3177538,8.974563616903254,8.554662670610991,False
MHL,Marshall Islands,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728242550.086642,6242320806.072857,514078255.98621464,8.974449868196293,8.554686486292455,False
VCT,Saint Vincent and the Grenadines,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728185086.36131,6242257883.071308,514072796.70999813,8.974444592127353,8.554691762361395,False
BHS,The Bahamas,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5727909215.48642,6241956857.997509,514047642.5110893,8.974437673021601,8.554698681467148,False
MAF,Saint Martin,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728254267.725744,6242332041.957183,514077774.23143864,8.974423100033581,8.554713254455168,False
NCL,New Caledonia,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728009287.44056,6242064151.874049,514054864.43348885,8.97440696474819,8.554729389740558,False
LKA,Sri Lanka,Asia,191456.4443806482,7689.687593064038,443936767.6306029,521779571.9940596,77842804.36345673,17.534660347896494,5709393858.131896,6222092727.709824,512698869.5779276,8.979917699103733,8.554742648792761,False
