year,threshold_m,geography_level,region,population_total,population_below_or_equal,percent_below_or_equal,population_above,percent_above
2025,100,continent,North America,615231730.0694127,218441303.38234958,35.50553274580039,396790426.6870631,64.4944672541996
2025,100,continent,Oceania,46236148.60356799,31679735.297570106,68.51724517367222,14556413.305997882,31.482754826327774
2025,100,continent,South America,436889388.78931594,149056828.20154646,34.11774971568997,287832560.5877695,65.88225028431005
2025,150,global,Global,8196715785.285715,4125621374.9234157,50.33261470807003,4071094410.3622994,49.667385291929975
2025,150,continent,Africa,1532348334.5606296,424385998.6463126,27.695138831993894,1107962335.9143171,72.30486116800611
2025,150,continent,Asia,4821148981.730172,2784401084.9983034,57.75389011104697,2036747896.7318687,42.24610988895303
2025,150,continent,Europe,744861201.5326172,448759000.1599292,60.24733188365406,296102201.372688,39.75266811634594
2025,150,continent,North America,615231730.0694127,261836987.69791543,42.55908382169659,353394742.3714973,57.44091617830341
2025,150,continent,Oceania,46236148.60356799,34695843.35674842,75.04051354759895,11540305.24681957,24.959486452401052
2025,150,continent,South America,436889388.78931594,171542460.06420675,39.264505951855654,265346928.7251092,60.735494048144346
2025,200,global,Global,8196715785.285715,4604354160.128074,56.1731586252332,3592361625.1576414,43.8268413747668
2025,200,continent,Africa,1532348334.5606296,472744015.32213795,30.85094979123581,1059604319.2384917,69.1490502087642
2025,200,continent,Asia,4821148981.730172,3058836466.26102,63.44621329588723,1762312515.469152,36.553786704112774
2025,200,continent,Europe,744861201.5326172,534948163.5783487,71.81850289391446,209913037.95426852,28.18149710608554
2025,200,continent,North America,615231730.0694127,311322569.548565,50.602489165089125,303909160.52084774,49.39751083491087
2025,200,continent,Oceania,46236148.60356799,36264993.61557468,78.43428726409137,9971154.987993307,21.565712735908644
2025,200,continent,South America,436889388.78931594,190237951.80242762,43.543733650662624,246651436.98688832,56.45626634933738
2025,500,global,Global,8196715785.285715,6245878830.527775,76.19977310595576,1950836954.7579403,23.80022689404424
2025,500,continent,Africa,1532348334.5606296,870276755.7652605,56.79366343389507,662071578.7953691,43.20633656610492
2025,500,continent,Asia,4821148981.730172,3933324451.0375414,81.58479370670648,887824530.6926308,18.41520629329351
2025,500,continent,Europe,744861201.5326172,690968657.3583753,92.764753478453,53892544.1742419,7.235246521547004
2025,500,continent,North America,615231730.0694127,454179891.27441055,73.82257271145106,161051838.79500216,26.177427288548934
2025,500,continent,Oceania,46236148.60356799,39358211.32828483,85.12432916016625,6877937.275283158,14.87567083983374
2025,500,continent,South America,436889388.78931594,257770863.76390278,59.001401814363895,179118525.02541316,40.998598185636105
2025,1000,global,Global,8196715785.285715,7166220193.817212,87.42794530806606,1030495591.468503,12.572054691933946
2025,1000,continent,Africa,1532348334.5606296,1081238390.5197701,70.56087484376023,451109944.04085946,29.439125156239772
2025,1000,continent,Asia,4821148981.730172,4435590883.61441,92.00277569565178,385558098.11576176,7.997224304348213
2025,1000,continent,Europe,744861201.5326172,741452660.9549931,99.54239251949079,3408540.5776240826,0.4576074805092159
2025,1000,continent,North America,615231730.0694127,495414942.9171536,80.52493372883403,119816787.15225911,19.47506627116598
2025,1000,continent,Oceania,46236148.60356799,41027272.91570023,88.7341920873881,5208875.687867761,11.265807912611905
2025,1000,continent,South America,436889388.78931594,371496042.89518416,85.03205901261501,65393345.89413178,14.96794098738499
2025,1500,global,Global,8196715785.285715,7663302929.195872,93.49235876828381,533412856.0898428,6.507641231716191
2025,1500,continent,Africa,1532348334.5606296,1318024376.716508,86.01336569432337,214323957.8441217,13.98663430567664
2025,1500,continent,Asia,4821148981.730172,4641608206.010066,96.27597536602832,179540775.72010612,3.724024633971674
2025,1500,continent,Europe,744861201.5326172,744282350.4381614,99.92228738813824,578851.0944558382,0.07771261186175375
2025,1500,continent,North America,615231730.0694127,528209386.9670285,85.85535516957715,87022343.10238421,14.144644830422845
2025,1500,continent,Oceania,46236148.60356799,42025029.47543086,90.89214985390855,4211119.128137127,9.10785014609145
2025,1500,continent,South America,436889388.78931594,389153579.5886783,89.07370825990522,47735809.20063764,10.92629174009479
2025,3500,global,Global,8196715785.285715,8184626352.17358,99.85250881659411,12089433.112134933,0.14749118340588566
2025,3500,continent,Africa,1532348334.5606296,1532169352.2464159,99.98831973708738,178982.31421375275,0.011680262912614602
2025,3500,continent,Asia,4821148981.730172,4816409964.204998,99.90170356603514,4739017.525174141,0.09829643396486461
2025,3500,continent,Europe,744861201.5326172,744861076.2704842,99.99998318315778,125.26213300228119,1.6816842217656574e-05
2025,3500,continent,North America,615231730.0694127,615223284.7076898,99.99862728768525,8445.361722946167,0.0013727123147555037
2025,3500,continent,Oceania,46236148.60356799,46235896.500807345,99.99945474965313,252.10276064276695,0.000545250346875372
2025,3500,continent,South America,436889388.78931594,429726778.2431852,98.36054371428445,7162610.546130717,1.6394562857155566
