elevation_group,settlement_class,pop_2015_static2025,pop_2025_static2025,youth_population,youth_share_percent,male_share_percent,growth_static2025_percent,youth_share,male_share,growth_static2025,pop_2025_change_static2025,population_2025_millions
500-1499 m,Peri-urban,220057183.68083552,254611295.8341173,74007005.59637411,29.066662323022257,50.173558357787186,15.702333173271022,0.2906666232302226,0.5017355835778718,0.15702333173271021,254611295.8341173,254.6112958341173
500-1499 m,Semi-dense urban,28760537.91542685,33262792.702448983,9872814.265892567,29.681254830914057,50.10134061275438,15.654278790826002,0.29681254830914056,0.5010134061275437,0.15654278790826,33262792.702448983,33.262792702448984
500-1499 m,Dense urban,110426217.71107727,125488800.62610844,34566607.137098484,27.545571369423676,50.25792101167156,13.640404631481063,0.27545571369423677,0.5025792101167156,0.13640404631481062,125488800.62610844,125.48880062610844
500-1499 m,Urban centre,409972123.6643691,463047735.51606333,115049678.44416416,24.846180991672952,50.10001325961797,12.94615140515258,0.24846180991672953,0.5010001325961797,0.1294615140515258,463047735.51606333,463.0477355160633
1500-2499 m,Low-density rural,108266222.34269328,127603905.5665947,43382701.90398429,33.99794207814703,49.99795962256656,17.8612339153131,0.33997942078147025,0.4999795962256656,0.17861233915313102,127603905.5665947,127.6039055665947
1500-2499 m,Rural cluster,19030523.38120549,22619661.67369092,7155189.449831633,31.632610394672177,49.9992235567572,18.85990322278815,0.3163261039467218,0.499992235567572,0.18859903222788152,22619661.67369092,22.619661673690917
1500-2499 m,Peri-urban,83947042.53149958,101853483.82040048,35142194.1341093,34.50269231445826,49.776997827963854,21.330639828296317,0.3450269231445826,0.49776997827963854,0.21330639828296316,101853483.82040048,101.85348382040047
1500-2499 m,Semi-dense urban,11639370.557832023,14153355.449735878,4939099.774718037,34.89702348152506,49.70691385159163,21.598976331346528,0.3489702348152506,0.4970691385159163,0.21598976331346528,14153355.449735878,14.153355449735878
1500-2499 m,Dense urban,34279539.915141135,39820197.45976648,11938635.596387977,29.98135709510364,50.12424413075463,16.163161927905733,0.2998135709510364,0.5012424413075464,0.16163161927905734,39820197.45976648,39.820197459766476
1500-2499 m,Urban centre,130770663.5184279,149825693.1878279,38782748.643174656,25.885245593060564,49.82551174383349,14.57133362844397,0.25885245593060563,0.4982551174383349,0.1457133362844397,149825693.1878279,149.82569318782788
2500-3499 m,Low-density rural,17492813.53818008,20701170.08041541,7005946.87211611,33.84324096126417,49.67909352611901,18.340997777359956,0.3384324096126417,0.4967909352611901,0.18340997777359955,20701170.08041541,20.70117008041541
2500-3499 m,Rural cluster,2881025.0149474433,3415311.4071736857,1057983.989307374,30.97767269728708,49.9304521228998,18.54501052417933,0.3097767269728708,0.499304521228998,0.18545010524179328,3415311.4071736857,3.415311407173686
2500-3499 m,Peri-urban,9458726.873348713,11701885.34603407,3993182.7758771977,34.12426850713028,49.132147240634914,23.71522618975045,0.34124268507130284,0.49132147240634916,0.2371522618975045,11701885.34603407,11.70188534603407
2500-3499 m,Semi-dense urban,1012373.0429746244,1229552.1148995997,408876.2954067749,33.25408418659522,49.36256333769784,21.45247479988645,0.33254084186595223,0.4936256333769784,0.21452474799886448,1229552.1148995997,1.2295521148995996
2500-3499 m,Dense urban,4725668.456841031,5437144.0962532135,1575607.0053249572,28.9785773088251,49.68463765413191,15.055555545421878,0.289785773088251,0.49684637654131913,0.15055555545421878,5437144.0962532135,5.437144096253213
2500-3499 m,Urban centre,20594500.52847592,23584658.50360452,4921067.292096502,20.865543977854927,48.67457109472839,14.51920609093736,0.20865543977854928,0.4867457109472839,0.1451920609093736,23584658.50360452,23.58465850360452
>=3500 m,Low-density rural,4354097.0635296935,4810843.154273544,1261361.744625918,26.219140890208227,50.594331118442334,10.490030058576256,0.26219140890208226,0.5059433111844234,0.10490030058576255,4810843.154273544,4.810843154273544
>=3500 m,Rural cluster,1221666.437914577,1304417.4921946377,334581.02394085604,25.64984185990445,51.46747732697378,6.773620991120883,0.2564984185990445,0.5146747732697378,0.06773620991120884,1304417.4921946377,1.3044174921946377
>=3500 m,Peri-urban,757835.3546815229,813643.3083310619,193251.1675521388,23.751337419407275,51.454444912590816,7.364126429940969,0.23751337419407276,0.5145444491259081,0.07364126429940969,813643.3083310619,0.8136433083310618
>=3500 m,Semi-dense urban,271269.39137855073,279843.4656149994,69879.50509453642,24.970926135782864,51.62083537305304,3.160723070478578,0.24970926135782864,0.5162083537305304,0.03160723070478578,279843.4656149994,0.2798434656149994
>=3500 m,Dense urban,1271768.941425761,1336206.0353885868,348604.2747362802,26.0891109232942,50.98677931450837,5.0667296443476895,0.260891109232942,0.5098677931450837,0.050667296443476895,1336206.0353885868,1.3362060353885867
>=3500 m,Urban centre,3188748.9220830686,3548622.3471834026,875196.5264745075,24.662994279150745,50.42153972468165,11.285724711911298,0.24662994279150743,0.5042153972468165,0.11285724711911298,3548622.3471834026,3.5486223471834024
