elevation_group,population_2015,population_2025,absolute_change_2015_2025,growth_2015_2025_pct,age_0_14_population_2025,age_0_14_share_2025_pct,age_15_64_population_2025,age_15_64_share_2025_pct,age_65_plus_population_2025,age_65_plus_share_2025_pct,population_2015_billions,population_2025_billions
<100 m,3255289583.297298,3513598213.6094508,258308630.31215289,7.935043064584443,764049297.08724451,21.745494238009407,2345135031.955626,66.744541902146352,404413884.56658047,11.509963859844236,3.2552895832972979,3.513598213609451
100-499 m,2473002289.7891879,2728759506.4634366,255757216.6742487,10.341972497568372,686087721.90787792,25.14284312277378,1752714028.6656671,64.2311652790994,289957755.88989186,10.625991598126827,2.4730022897891879,2.7287595064634367
500-1499 m,1242716345.748641,1420290283.547622,177573937.79898095,14.289176963293308,399062501.98868859,28.097249316661127,904732129.19256282,63.700508246293829,116495652.36637044,8.2022424370450437,1.242716345748641,1.4202902835476221
1500-2499 m,387953295.10398859,455898978.93127704,67945683.827288449,17.513882388620004,141346840.09154046,31.003982597830586,285870013.31154823,62.704683827475904,28682125.528188359,6.2913335746935184,0.38795329510398852,0.45589897893127701
2500-3499 m,56167239.283401877,66072049.507163286,9904810.2237614095,17.634497173316483,18963290.674141251,28.700926966228469,42493828.408616371,64.314379114286965,4614930.4244056661,6.9846939194845667,0.056167239283401803,0.066072049507163194
">=3,500 m",11068280.054239174,12096753.226757538,1028473.1725183632,9.2920776080693397,3083663.7060891329,25.491664153883796,8102966.1528831795,66.984636298603988,910123.3677852262,7.5236995475122148,0.011068280054239101,0.0120967532267575
