elevation_group,settlement_class,population_2015_static2025,population_2025_static2025,age_0_14_population_2025,age_0_14_share_2025_pct,male_share_2025_pct,growth_static2025_pct,youth_share,male_share,growth_static2025,population_2025_change_static2025,population_2025_millions
1500-2499 m,Dense urban,34279539.915141135,39820197.459766477,11938635.596387977,29.98135709510364,50.124244130754633,16.163161927905733,0.29981357095103639,0.50124244130754636,0.16163161927905731,39820197.459766477,39.820197459766483
1500-2499 m,Urban centre,130770663.51842789,149825693.18782789,38782748.643174656,25.885245593060564,49.825511743833488,14.57133362844397,0.25885245593060557,0.49825511743833489,0.14571333628443969,149825693.18782789,149.82569318782788
2500-3499 m,Low-density rural,17492813.538180079,20701170.080415409,7005946.8721161103,33.843240961264172,49.679093526119011,18.340997777359956,0.3384324096126417,0.49679093526119011,0.18340997777359949,20701170.080415409,20.701170080415409
2500-3499 m,Rural cluster,2881025.0149474433,3415311.4071736857,1057983.989307374,30.97767269728708,49.930452122899801,18.545010524179329,0.30977672697287079,0.49930452122899799,0.1854501052417932,3415311.4071736857,3.4153114071736859
2500-3499 m,Peri-urban,9458726.8733487129,11701885.34603407,3993182.7758771977,34.124268507130282,49.132147240634914,23.715226189750449,0.34124268507130279,0.4913214724063491,0.23715226189750449,11701885.34603407,11.70188534603407
2500-3499 m,Semi-dense urban,1012373.0429746244,1229552.1148995997,408876.29540677491,33.254084186595222,49.362563337697843,21.452474799886449,0.33254084186595217,0.4936256333769784,0.2145247479988644,1229552.1148995997,1.2295521148995996
2500-3499 m,Dense urban,4725668.4568410311,5437144.0962532135,1575607.0053249572,28.978577308825098,49.684637654131912,15.055555545421878,0.28978577308825099,0.49684637654131908,0.1505555554542187,5437144.0962532135,5.4371440962532134
2500-3499 m,Urban centre,20594500.528475922,23584658.50360452,4921067.2920965021,20.865543977854927,48.674571094728392,14.519206090937359,0.2086554397785492,0.48674571094728392,0.14519206090937359,23584658.50360452,23.584658503604519
">=3,500 m",Low-density rural,4354097.0635296935,4810843.1542735444,1261361.7446259181,26.219140890208227,50.594331118442334,10.490030058576256,0.2621914089020822,0.50594331118442337,0.1049003005857625,4810843.1542735444,4.8108431542735444
">=3,500 m",Rural cluster,1221666.4379145771,1304417.4921946377,334581.02394085604,25.649841859904448,51.467477326973778,6.7736209911208833,0.25649841859904449,0.51467477326973776,0.067736209911208795,1304417.4921946377,1.3044174921946377
">=3,500 m",Peri-urban,757835.35468152293,813643.30833106185,193251.1675521388,23.751337419407275,51.454444912590816,7.3641264299409688,0.2375133741940727,0.51454444912590813,0.073641264299409606,813643.30833106185,0.8136433083310618
">=3,500 m",Semi-dense urban,271269.39137855073,279843.46561499941,69879.50509453642,24.970926135782864,51.62083537305304,3.160723070478578,0.24970926135782859,0.51620835373053042,0.031607230704785702,279843.46561499941,0.2798434656149994
">=3,500 m",Dense urban,1271768.941425761,1336206.0353885868,348604.2747362802,26.0891109232942,50.986779314508368,5.0667296443476895,0.26089110923294201,0.50986779314508368,0.050667296443476798,1336206.0353885868,1.3362060353885867
">=3,500 m",Urban centre,3188748.9220830686,3548622.3471834026,875196.52647450753,24.662994279150745,50.421539724681651,11.285724711911298,0.24662994279150741,0.50421539724681652,0.11285724711911289,3548622.3471834026,3.5486223471834024
