elevation_group,settlement_class,population_2015,population_2025,youth_population_2015,youth_population_2025,working_age_population_2015,working_age_population_2025,old_age_population_2015,old_age_population_2025,population_2025_millions,population_change_percent,youth_share_2015_percent,youth_share_2025_percent,youth_share_change_pp,youth_share_change_percent,working_age_share_2015_percent,working_age_share_2025_percent,working_age_share_change_pp,working_age_share_change_percent,old_age_share_2015_percent,old_age_share_2025_percent,old_age_share_change_pp,old_age_share_change_percent
100-499 m,Dense urban,236721005.92654112,261204087.46353617,64060899.49359092,65989306.97859571,151243077.99493757,166271253.61745265,21417028.43801262,28943526.867487792,261.20408746353615,10.342589345278718,27.06177225077786,25.26350472513481,-1.7982675256430518,-6.645047149827232,63.890856412578394,63.65568595501552,-0.23517045756287303,-0.36808155465040127,9.047371336643744,11.080809319849667,2.033437983205923,22.47545621312208
100-499 m,Urban centre,797509213.4872794,883015374.3110319,208309505.7978662,213828829.74401748,523786290.05504143,578350366.0284828,65413417.634371825,90836178.53853165,883.0153743110319,10.721651785044406,26.120012443115034,24.2157538775422,-1.9042585655728352,-7.29041982548817,65.6777728955223,65.4972022972689,-0.1805705982533965,-0.2749341067649236,8.20221466136268,10.287043825188897,2.0848291638262175,25.417881022390286
500-1499 m,Low-density rural,394904317.9306954,452536823.5125617,128459317.66429451,138664395.52703762,240790490.01063076,277984779.872762,25654510.255770124,35887648.11276204,452.5368235125617,14.594042902306438,32.529225898927436,30.6415717622123,-1.8876541367151347,-5.802948224406945,60.974387738370794,61.42810163271622,0.45371389434542664,0.7441056994163198,6.496386362701767,7.930326605071478,1.4339402423697116,22.07289040877418
500-1499 m,Rural cluster,78484478.20474386,91208812.24806409,24330293.138811406,26855126.768710602,48716297.00876488,56692631.56993988,5437888.057167572,7661053.909413613,91.20881224806409,16.21254843553399,31.000133651064782,29.44356593052839,-1.5565677205363926,-5.021164547408096,62.071250421870424,62.156967262933726,0.08571684106330224,0.13809427147144504,6.928615927064784,8.399466806537895,1.4708508794731108,21.2286392398751
500-1499 m,Peri-urban,220057183.68083552,254611295.8341173,68906059.11049068,74007005.59637411,137576176.0462042,160851623.17187145,13574948.524140617,19752667.065871745,254.6112958341173,15.702333173271011,31.312796954826982,29.066662323022257,-2.2461346318047255,-7.173216225446366,62.51837533544947,63.17536802321153,0.6569926877620631,1.0508793362541624,6.168827709723544,7.7579696537662155,1.5891419440426713,25.76084174855142
500-1499 m,Semi-dense urban,28760537.91542685,33262792.702448986,9073686.928145505,9872814.265892567,17787614.640751347,20669220.45748361,1899236.3465299963,2720757.9790728115,33.262792702448984,15.654278790825993,31.54908630300157,29.681254830914057,-1.8678314720875129,-5.920397992349491,61.84729469614773,62.13916144197306,0.291866745825331,0.4719151375323083,6.6036190008506965,8.179583727112892,1.5759647262621952,23.865167358370854
500-1499 m,Dense urban,110426217.71107729,125488800.62610844,32214411.432132922,34566607.137098484,70501039.45656653,79722816.12572305,7710766.822377828,11199377.363286914,125.48880062610844,13.640404631481061,29.17279256672518,27.545571369423676,-1.6272211973015054,-5.577872579663601,63.84447544968688,63.52982555252537,-0.3146498971615159,-0.49283809592809424,6.982731983587926,8.924603078050968,1.9418710944630417,27.809618055328155
500-1499 m,Urban centre,409972123.6643691,463047735.5128777,109682490.59640507,115049678.44364814,273745753.8457062,308731100.2368813,26543879.22225782,39266956.83234821,463.0477355128777,12.946151405152584,26.753645983549497,24.846180991732446,-1.9074649918170508,-7.1297384774767885,66.77179692095675,66.67370911444513,-0.09808780651161442,-0.14690005516510007,6.47455709549375,8.48010989382242,2.0055527983286696,30.97590721262651
1500-2499 m,Low-density rural,108266222.34269328,127603905.5665947,39590049.4302769,43382701.90398429,63414053.21692019,76594725.90174146,5262119.695496199,7626477.760868961,127.6039055665947,17.86123391531309,36.56731395408179,33.99794207814702,-2.5693718759347703,-7.026416758860588,58.572333868080044,60.02537740646797,1.4530435383879237,2.4807676976993154,4.860352177838161,5.9766805153850155,1.1163283375468547,22.96805450923902
1500-2499 m,Rural cluster,19030523.38120549,22619661.67369092,6413836.691874355,7155189.449831633,11566744.3028485,13901320.795347765,1049942.3864826376,1563151.4285115201,22.619661673690917,18.859903222788144,33.70289173554022,31.632610394672177,-2.0702813408680427,-6.142740976391947,60.779958969871494,61.45680247515145,0.6768435052799546,1.1135965156137573,5.517149294588286,6.9105871301763635,1.3934378355880774,25.256482309711757
