elevation_group,population_total_start,population_total,absolute_change,growth_2015_2025_percent,0-14_population,0-14_share_percent,15-64_population,15-64_share_percent,65+_population,65+_share_percent,population_2015_billions,population_2025_billions,youth_population,working_age_population,old_age_population,youth_share_percent,working_age_share_percent,old_age_share_percent
<100 m,3255289583.297298,3513598213.609451,258308630.31215286,7.935043064584443,764049297.0872445,21.745494238009407,2345135031.955626,66.74454190214635,404413884.5665805,11.509963859844236,3.255289583297298,3.513598213609451,764049297.0872445,2345135031.955626,404413884.5665805,21.745494238009407,66.74454190214635,11.509963859844236
100-499 m,2473002289.789188,2728759506.4634366,255757216.6742487,10.341972497568372,686087721.9078779,25.14284312277378,1752714028.665667,64.2311652790994,289957755.88989186,10.625991598126827,2.473002289789188,2.7287595064634367,686087721.9078779,1752714028.665667,289957755.88989186,25.14284312277378,64.2311652790994,10.625991598126827
500-1499 m,1242716345.748641,1420290283.547622,177573937.79898095,14.289176963293308,399062501.9886886,28.097249316661127,904732129.1925628,63.70050824629383,116495652.36637044,8.202242437045044,1.242716345748641,1.4202902835476219,399062501.9886886,904732129.1925628,116495652.36637044,28.097249316661127,63.70050824629383,8.202242437045044
1500-2499 m,387953295.1039886,455898978.93127704,67945683.82728845,17.513882388620004,141346840.09154046,31.003982597830586,285870013.31154823,62.704683827475904,28682125.52818836,6.291333574693518,0.38795329510398857,0.455898978931277,141346840.09154046,285870013.31154823,28682125.52818836,31.003982597830586,62.704683827475904,6.291333574693518
2500-3499 m,56167239.28340188,66072049.507163286,9904810.22376141,17.634497173316483,18963290.67414125,28.70092696622847,42493828.40861637,64.31437911428696,4614930.424405666,6.984693919484567,0.05616723928340188,0.06607204950716329,18963290.67414125,42493828.40861637,4614930.424405666,28.70092696622847,64.31437911428696,6.984693919484567
>=3500 m,11068280.054239174,12096753.226757538,1028473.1725183632,9.29207760806934,3083663.706089133,25.491664153883796,8102966.1528831795,66.98463629860399,910123.3677852262,7.523699547512215,0.011068280054239174,0.012096753226757538,3083663.706089133,8102966.1528831795,910123.3677852262,25.491664153883796,66.98463629860399,7.523699547512215
