removed_region,removed_highland_population_2025,removed_highland_absolute_growth_2015_2025,remaining_highland_population_2015,remaining_highland_population_2025,remaining_highland_absolute_change_2015_2025,remaining_highland_growth_percent,remaining_lowland_population_2015,remaining_lowland_population_2025,remaining_lowland_absolute_change_2015_2025,remaining_lowland_growth_percent,remaining_highland_minus_lowland_growth_difference_pp,contrast_reverses_highland_not_greater_than_lowland
Africa,214448913.59389809,46949948.610692412,276621569.40418482,307522114.84454232,30900545.440357503,11.170692692877925,5039483846.5052996,5372843309.0817137,333359462.57641411,6.6149524977163461,4.5557401951615768,False
Europe,580356.41085336474,8962.3664819979622,443549140.34301907,521390672.027587,77841531.684567928,17.549697340044244,5039022979.4868755,5551617220.5147657,512594241.02789021,10.17249262634019,7.3772047137040531,False
Oceania,4213044.9666152494,1028970.277599882,440936459.69837505,517757983.47182512,76821523.773450077,17.422356914191276,5693574394.8391409,6203002379.7984009,509427984.95925999,8.9474194878532494,8.4749374263380268,False
Unassigned,0,0,444120534.38739038,521971028.43844038,77850494.051049948,17.529136354488791,5728285873.4788542,6242350604.8606758,514064731.38182157,8.9741458917381891,8.5549904627506024,False
South America,40599777.667759009,4738413.5052130874,408259170.22484452,481371250.77068138,73112080.545836866,17.908251884598489,5484784248.9711819,5984778405.9871731,499994157.01599121,9.1160223323237997,8.7922295522746889,False
Asia,175067669.74932691,17531215.630423438,286584080.26848698,346903358.6891135,60319278.420626521,21.047672419248222,2079336783.2796969,2311218129.0541458,231881345.77444887,11.151697389237111,9.8959750300111118,False
North America,87061266.049987718,7592983.6606390262,364652251.99804175,434909762.38845265,70257510.3904109,19.266989304316212,5305263111.9578724,5788336271.1404495,483073159.18257713,9.1055457380379039,10.161443566278308,False
