metric,computed_value,target_approximate_value,absolute_difference,relative_difference_percent
<500 m 2025 population,6242357720.0728865,6240000000,2357720.072886467,0.037783975527026697
<100 m 2025 population,3513598213.6094508,3510000000,3598213.6094508171,0.102513208246462
1500-3500 m 2025 population,521971028.43844026,522000000,-28971.561559736729,-0.0055501075784935997
highland growth,17.529136354488749,17.5,0.029136354488748802,0.166493454221422
lowland growth,8.9741559678839415,9,-0.025844032116058398,-0.28715591240064953
