removed_iso3,removed_country_name,removed_region,removed_highland_population_2025,removed_highland_absolute_growth_2015_2025,remaining_highland_population_2015,remaining_highland_population_2025,remaining_highland_absolute_change_2015_2025,remaining_highland_growth_percent,remaining_lowland_population_2015,remaining_lowland_population_2025,remaining_lowland_absolute_change_2015_2025,remaining_lowland_growth_percent,remaining_highland_minus_lowland_growth_difference_pp,contrast_reverses_highland_not_greater_than_lowland
ROU,Romania,Europe,2819.6803194317613,-138.29496224585,444117576.41210878,521968208.75812078,77850632.346011996,17.529284243813009,5710358237.3140411,6225287642.7749815,514929405.4609403,9.0174623738342863,8.5118218699787231,False
TWN,Taiwan,Asia,8034.5873379162849,-126.43301273392537,444112373.36703986,521962993.85110229,77850620.484062493,17.529486939046006,5704915563.3760405,6219317207.6524601,514401644.2764197,9.0168143342687497,8.5126726047772561,False
VEN,Venezuela,South America,439987.25918542349,-30054.365369837265,443650492.7628352,521531041.17925477,77880548.416419625,17.554482568342976,5705590976.5621395,6221114170.1071949,515523193.54505539,9.0354039688922807,8.5190785994506957,False
ESP,Spain,Europe,14296.299966444034,-564.27815668635412,444105673.80926734,521956732.13847381,77851058.329206467,17.529849970491846,5696003180.9813318,6208984164.6314898,512980983.65015793,9.0059813407930616,8.523868629698784,False
GRC,Greece,Europe,1536.3830139193001,-366.23443035420149,444118631.76994622,521969492.05542642,77850860.285480142,17.52929391302974,5718121695.6029043,6232972750.8309336,514851055.22802925,9.003849211952538,8.5254447010772019,False
GBR,United Kingdom,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5663179962.5716066,6173013941.0356493,509833978.46404266,9.002609520332653,8.5265268341560958,False
CUB,Cuba,North America,0.60408999817445874,0.091250998084433294,444120533.87455148,521971027.83435029,77850493.959798813,17.529136354183716,5717077493.8225851,6231459139.4332895,514381645.61070442,8.9972830728025635,8.531853281381153,False
BLR,Belarus,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5718812661.8432264,6233329692.9377842,514517031.09455776,8.9969205413475493,8.5322158131411996,False
PRK,"Korea, North",Asia,9320.3489173436265,460.49753034156493,444111674.53600347,521961708.0895229,77850033.553519428,17.529382364211692,5704346160.4582787,6217452375.8092384,513106215.35095978,8.9950048772940807,8.5343774869176112,False
HUN,Hungary,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5718443891.4357777,6232698993.8697443,514255102.43396664,8.9929203153350912,8.5362160391536577,False
SRB,Serbia,Europe,299.79677879589173,-152.3410436695147,444120082.2495681,521970728.64166147,77850646.39209342,17.529188501848957,5721536093.3851604,6236051855.2511282,514515761.86596775,8.9926158546970427,8.5365726471519139,False
ZMB,Zambia,Africa,564393.21243858826,146198.47623238829,443702339.65118432,521406635.22600168,77704295.574817359,17.512708099737413,5728147322.1335716,6242164150.6711082,514016828.53753662,8.9735266855196745,8.5391814142177385,False
PRT,Portugal,Europe,439.02786322032028,1.4865369364268304,444120096.84606421,521970589.41057706,77850492.564512849,17.529153289250157,5718492979.4381933,6232523678.8582249,514030699.42003155,8.9889189558912754,8.5402343333588817,False
LBN,Lebanon,Asia,17119.350884172978,-2033.6610482436115,444101381.37545806,521953909.08755606,77852527.712098002,17.53035027069166,5723750664.1986837,6238314946.5408745,514564282.34219074,8.9899842346509509,8.5403660360407088,False
NAM,Namibia,Africa,625019.41762187902,147002.65000100544,443642517.61976957,521346009.02081841,77703491.401048779,17.514888297439001,5728095946.824502,6242101603.3687334,514005656.54423141,8.9734121305908285,8.541476166848172,False
ARG,Argentina,South America,273219.77497712849,15063.119870758615,443862377.73228413,521697808.66346312,77835430.931178987,17.53593790238412,5692133364.9214134,6204090929.3552723,511957564.43385887,8.9941245507153891,8.5418133516687309,False
BGR,Bulgaria,Europe,5332.646556274246,-374.51293515769521,444114827.22789907,521965695.79188401,77850868.563984931,17.529445943050103,5723394737.9259243,6237776448.6339474,514381710.70802307,8.9873533848624181,8.5420925581876848,False
HRV,Croatia,Europe,11.333014030934351,-0.73790957318362871,444120522.31646687,521971017.10542625,77850494.788959384,17.52913699707069,5724150098.9302177,6238555090.6628361,514404991.73261833,8.9865741261528971,8.5425628709177932,False
CZE,Czechia,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5718858546.0078039,6232742103.6670151,513883557.65921122,8.9857714354194123,8.5433649190693366,False
KGZ,Kyrgyzstan,Asia,1296427.1902378127,234926.5421488646,443059033.73930162,520674601.24820238,77615567.508900881,17.518109687064936,5728281860.1963568,6242345658.2833805,514063798.08702374,8.9741358863476464,8.5439738007172892,False
HKG,Hong Kong,Asia,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5720955779.188632,6234970239.040288,514014459.85165602,8.9847654778508961,8.5443708766378528,False
MDA,Moldova,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5724974690.1700745,6239337815.2217302,514363125.05165577,8.9845484545954459,8.5445878998933029,False
PRI,Puerto Rico,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5724910229.5991268,6239265938.9839659,514355709.38483906,8.9845200842713577,8.5446162702173911,False
