iso3,country_id,country_name,region,worldpop_country_name,country_name_dos_short,country_name_dos_long,highland_population_total_2015,highland_population_total_2025,highland_absolute_change_2015_2025,highland_percent_change_2015_2025,lowland_population_total_2015,lowland_population_total_2025,lowland_absolute_change_2015_2025,lowland_percent_change_2015_2025,highland_minus_lowland_growth_difference_pp,highland_youth_share_2025_percent,lowland_youth_share_2025_percent,country_share_global_highland_2025_population_percent,country_share_global_highland_absolute_growth_percent
CRI,56,Costa Rica,North America,Costa Rica,Costa Rica,Republic of Costa Rica,239439.40993474144,256107.32920858229,16667.919273840846,6.9612263404690315,1578725.5581128388,1694169.3196174861,115443.76150464732,7.3124654827686024,-0.35123914229957087,17.716537403086633,21.595524200244306,0.049065429929083998,0.021410165056770201
CHL,45,Chile,South America,Chile,Chile,Republic of Chile,229103.37690420449,252522.90235068151,23419.525446477084,10.222252401050181,11443801.101288952,12628600.538151452,1184799.4368625004,10.353198437965272,-0.13094603691509121,17.835430738126746,17.137903199959229,0.048378720004086002,0.0300826934137629
RUS,210,Russia,Europe,Russia,Russia,Russian Federation,224817.74320534657,227637.40288291103,2819.6596775644575,1.2541980171863061,138701283.10119498,138049586.3428753,-651696.75831967592,-0.4698563299116742,1.7240543470979799,17.155269854799734,17.154197100220003,0.043611118334273197,0.0036218905376700999
NGA,171,Nigeria,Africa,Nigeria,Nigeria,Federal Republic of Nigeria,170558.25922609243,212425.40963877164,41867.150412679213,24.54712577546891,161526416.35654402,201649711.31048569,40123294.953941643,24.840082420559504,-0.29295664509059449,45.170861485758138,40.05601345911915,0.040696781634466599,0.053778914216299198
VNM,263,Vietnam,Asia,Vietnam,Vietnam,Socialist Republic of Vietnam,186042.53646461017,204808.00236017507,18765.465895564907,10.086653435374204,85914640.669780448,94353119.148042217,8438478.4782617688,9.8219330401388891,0.26472039523531338,27.834066854839691,22.571658424546939,0.0392374272137078,0.0241044917239184
LKA,137,Sri Lanka,Asia,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,183766.75678758416,191456.4443806482,7689.6875930640381,4.1844823990405082,18898014.954588521,20264992.363062385,1366977.4084738642,7.2334444213250872,-3.048962022284579,24.480330567483264,21.714751837818461,0.036679515518978197,0.0098775064780213008
PHL,184,Philippines,Asia,Philippines,Philippines,Republic of the Philippines,169675.11264585267,188577.6293651193,18902.516719266627,11.140417957888802,100023165.19157442,111243722.9441224,11220557.752547979,11.217959090833848,-0.077541132945045194,26.917256070897778,27.354720278601903,0.036127987779183697,0.024280535338505899
SDN,213,Sudan,Africa,Hala'ib Triangle,,,111530.68516821254,147612.86420526399,36082.17903705145,32.351795367016415,25024483.635643471,33138786.945192397,8114303.3095489256,32.425457514701186,-0.073662147684771598,45.579266271673838,38.293697527478749,0.0282798960407575,0.0463480411741393
CHE,44,Switzerland,Europe,Switzerland,Switzerland,Swiss Confederation,104904.45803064005,113842.03033477294,8937.5723041328893,8.5197259219645751,4896038.1568453768,5314429.6527231093,418391.49587773252,8.5455113394645448,-0.025785417499969598,12.642828953101256,14.89438928520587,0.021810028551843101,0.0114804310660792
GEO,85,Georgia,Asia,Georgia,Georgia,Georgia,94005.129573370243,94398.051106346553,392.92153297631012,0.41797882175103868,2393653.4465449057,2404036.9828673061,10383.53632240044,0.4337944716846312,-0.0158156499335925,20.803651692023767,20.562464599111856,0.018084921569067401,0.00050471296009840002
